date,delay,distance,origin,destination
1,14,405,MCI,MDW
2,-11,370,LAX,PHX
3,5,389,ONT,SMF
4,-5,337,OAK,LAX
5,3,303,MSY,HOU
6,5,236,LAS,LAX
7,-4,405,MDW,MCI
8,-2,188,RNO,SJC
9,0,197,FLL,TPA
10,0,399,SEA,BOI
11,5,562,ELP,DAL
12,-5,358,SMF,BUR
13,0,491,BNA,MCI
14,-6,361,ONT,OAK
15,0,313,MCI,OKC
16,1,271,MDW,SDF
17,5,689,SLC,SEA
18,-1,487,TPA,MSY
19,-10,399,BOI,SEA
20,-15,621,SJC,PHX
21,-2,361,OAK,ONT
22,-3,220,ISP,BWI
23,-3,397,SMF,LAS
24,-8,251,MDW,STL
25,-8,417,SJC,SAN
26,1,682,BWI,BHM
27,10,370,PHX,LAX
28,15,177,BHM,BNA
29,2,562,DAL,ELP
30,0,453,HOU,TUL
31,1,601,RNO,PHX
32,2,670,BNA,HOU
33,9,677,ABQ,LAX
34,-21,777,BDL,MDW
35,-8,197,ONT,LAS
36,3,833,OKC,PHX
37,5,495,SDF,BWI
38,-14,423,MDW,OMA
39,-14,605,SEA,SMF
40,-19,838,MHT,MDW
41,-5,223,LAS,BUR
42,-5,296,SJC,BUR
43,5,405,MCI,MDW
44,9,460,TPA,BHM
45,17,293,LBB,DAL
46,20,570,BHM,HOU
47,7,588,BWI,BNA
48,16,590,SLC,LAX
49,-19,1797,LAX,BNA
50,-28,1864,BWI,SLC
51,-10,1481,PDX,MCI
52,-10,361,OAK,ONT
53,-28,1235,LAS,HOU
54,-3,256,LAS,PHX
55,-3,588,SLC,OAK
56,-4,423,OMA,MDW
57,-4,612,TPA,BNA
58,-5,1090,AUS,LAS
59,-5,296,BUR,SJC
60,-5,369,PHX,BUR
61,-5,407,OAK,LAS
62,-6,325,OAK,BUR
63,-7,236,LAS,LAX
64,0,223,BUR,LAS
65,0,303,MSY,HOU
66,1,358,BUR,SMF
67,12,550,MCO,MSY
68,17,284,MDW,CMH
69,4,307,CLE,MDW
70,-2,457,DTW,BNA
71,-1,471,MSY,BNA
72,-10,443,RDU,BNA
73,-15,677,LAX,ABQ
74,-18,1246,HOU,BWI
75,-5,188,SJC,RNO
76,-9,386,SJC,LAS
77,0,588,OAK,SLC
78,13,365,JAX,BHM
79,4,1072,MCO,MCI
80,7,967,MCI,BWI
81,-5,303,HOU,MSY
82,-14,765,ISP,MDW
83,-15,1959,OAK,BNA
84,-26,2277,PVD,PHX
85,-31,1599,SAN,MSY
86,-8,251,STL,MDW
87,0,1506,SDF,PHX
88,2,842,TPA,BWI
89,-12,515,IND,BWI
90,-13,1076,TUL,LAS
91,-2,447,SFO,SAN
92,-25,2106,BWI,LAS
93,-3,405,MCI,MDW
94,-3,546,GEG,SLC
95,-7,386,LAS,SJC
96,24,938,MHT,BNA
97,-13,1489,OAK,MCI
98,-20,632,RDU,MDW
99,-5,446,OAK,SAN
100,-8,762,PDX,LAS
101,13,479,SMF,PDX
102,-12,852,BDL,BNA
103,-8,935,PHX,TUL
104,4,294,MAF,AUS
105,-2,192,SAT,HOU
106,-3,1591,IND,LAS
107,-3,284,CMH,MDW
108,-7,288,ALB,BWI
109,0,308,SJC,LAX
110,25,928,TPA,AUS
111,4,410,BHM,STL
112,6,673,FLL,MSY
113,8,448,CLE,BNA
114,-17,967,BWI,MCI
115,-3,281,BUF,BWI
116,-10,229,IND,STL
117,-13,251,MDW,STL
118,-25,440,DTW,STL
119,-3,181,OKC,DAL
120,-5,1497,TPA,ABQ
121,-5,304,SAN,PHX
122,23,377,MHT,BWI
123,6,1011,BUF,MCO
124,8,345,RNO,LAS
125,5,370,LAX,PHX
126,-10,303,HOU,MSY
127,-11,718,MCI,ABQ
128,-15,325,BUR,OAK
129,-15,793,FLL,BNA
130,-17,1448,PHX,BNA
131,-2,294,AUS,MAF
132,-2,347,ELP,PHX
133,-25,1521,MDW,LAS
134,-6,587,TPA,RDU
135,-7,229,MDW,DTW
136,-7,351,TUL,STL
137,0,248,SAT,DAL
138,10,308,LAX,SJC
139,-2,223,BUR,LAS
140,-6,904,RDU,MCI
141,0,283,BDL,BWI
142,2,507,PHX,SLC
143,5,487,TPA,MSY
144,9,395,BNA,MDW
145,-12,646,PHX,OAK
146,-2,256,PHX,LAS
147,-5,367,TUS,SAN
148,-8,351,STL,TUL
149,-8,369,BUR,PHX
150,4,1455,BHM,PHX
151,-5,1363,LAX,MCI
152,-10,419,OKC,HOU
153,19,284,MDW,CMH
154,4,587,MCO,JAN
155,6,321,BHM,MSY
156,-2,1814,LAX,IND
157,-3,689,SEA,SLC
158,-10,1162,RDU,AUS
159,-10,337,LAX,OAK
160,-10,671,SEA,OAK
161,-10,989,MDW,MCO
162,-11,237,STL,MCI
163,-13,843,PHX,SAT
164,-13,998,MSY,BWI
165,-19,787,MCO,BWI
166,-3,1073,ALB,MCO
167,-3,197,LAS,ONT
168,-3,407,OAK,LAS
169,-4,239,HOU,DAL
170,-4,337,OAK,LAX
171,-5,325,ONT,PHX
172,-5,462,STL,OKC
173,-6,1037,PHX,OMA
174,-6,972,ISP,MCO
175,0,342,SJC,SNA
176,0,358,SMF,BUR
177,0,612,BNA,TPA
178,12,358,BUR,SMF
179,13,389,ONT,SMF
180,9,1797,BNA,LAX
181,9,437,MSY,DAL
182,-1,304,PHX,SAN
183,-1,345,LAS,RNO
184,-13,989,MCO,MDW
185,-14,727,TPA,SDF
186,-2,325,BUR,OAK
187,-4,314,BWI,CLE
188,-7,405,MDW,MCI
189,-8,822,SAT,BNA
190,25,1448,BNA,PHX
191,7,457,BNA,DTW
192,10,189,DAL,AUS
193,-12,447,SAN,SFO
194,-7,197,ONT,LAS
195,0,714,LAX,ELP
196,5,484,JAX,BNA
197,-10,223,LAS,BUR
198,-17,1999,PHX,BWI
199,-24,1751,SAN,BNA
200,-3,677,LAX,ABQ
201,-5,386,LAS,SJC
202,-7,1140,MCI,LAS
203,5,223,TUL,MCI
204,8,1588,BNA,LAS
205,8,321,MSY,BHM
206,13,303,MSY,HOU
207,-14,1262,STL,PHX
208,-3,1020,HOU,PHX
209,-31,1234,PVD,MCI
210,-5,422,RNO,SLC
211,-5,550,MSY,MCO
212,-9,197,FLL,TPA
213,8,405,MCI,MDW
214,10,236,LAX,LAS
215,-7,646,OAK,PHX
216,-2,188,SJC,RNO
217,-3,296,BUR,SJC
218,-5,1044,MCI,PHX
219,-7,304,SAN,PHX
220,5,1588,LAS,BNA
221,5,368,LAS,SLC
222,-10,440,STL,DTW
223,-2,580,ABQ,DAL
224,-5,802,MCO,CMH
225,-7,239,DAL,HOU
226,-7,255,RDU,BWI
227,-8,370,PHX,LAX
228,0,370,LAX,PHX
229,0,446,SAN,OAK
230,31,758,AMA,LAS
231,-1,291,BOI,SLC
232,-13,347,PHX,ELP
233,-14,1099,OMA,LAS
234,-14,405,MDW,MCI
235,-2,325,OAK,BUR
236,-3,611,MDW,BWI
237,-8,325,PHX,ONT
238,0,480,SAN,SMF
239,5,605,SMF,SEA
240,-3,888,BWI,JAN
241,14,937,HOU,MDW
242,-11,1444,MDW,PHX
243,-12,303,HOU,MSY
244,-22,1236,MHT,MCI
245,-5,180,RNO,OAK
246,-6,479,PDX,SMF
247,6,1142,MHT,MCO
248,-10,1624,LAS,SDF
249,-10,777,MDW,BDL
250,-15,217,DAL,IAH
251,-17,925,FLL,BWI
252,-4,178,FLL,MCO
253,-5,1090,LAS,AUS
254,-5,148,AUS,HOU
255,-7,296,STL,LIT
256,0,279,GEG,PDX
257,0,588,OAK,SLC
258,1,323,SDF,BHM
259,14,1407,BWI,SAT
260,2,889,ABQ,OAK
261,27,368,SLC,LAS
262,2,397,LAS,SMF
263,7,423,MDW,OMA
264,-20,621,PHX,SJC
265,-8,236,LAX,LAS
266,-8,520,BOI,LAS
267,0,453,HOU,TUL
268,10,325,ONT,PHX
269,18,765,MDW,ISP
270,3,405,MDW,MCI
271,4,838,MDW,MHT
272,7,220,BWI,ISP
273,-10,337,LAX,OAK
274,-11,256,PHX,LAS
275,-12,544,MDW,LIT
276,-3,480,SMF,SAN
277,-4,246,MAF,ELP
278,-4,288,BWI,ALB
279,-5,236,LAS,LAX
280,-8,628,SAN,ABQ
281,0,1034,ISP,TPA
282,0,389,SMF,ONT
283,13,484,BNA,JAX
284,22,181,DAL,OKC
285,42,1999,BWI,PHX
286,5,370,PHX,LAX
287,8,303,MSY,HOU
288,3,697,SJC,SEA
289,5,395,MDW,BNA
290,-5,1069,LAS,SAT
291,-1,148,HOU,AUS
292,-1,254,STL,SDF
293,-12,628,ABQ,SAN
294,-2,192,HOU,SAT
295,-22,687,STL,HOU
296,-26,697,SEA,SJC
297,-5,487,TPA,MSY
298,6,759,HOU,ABQ
299,3,370,LAX,PHX
300,31,236,LAS,LAX
301,-1,1442,SMF,MCI
302,-10,487,MSY,TPA
303,-18,304,PHX,SAN
304,-2,304,SAN,PHX
305,-2,371,OAK,SNA
306,-23,1671,MSY,LAX
307,-4,347,ELP,PHX
308,-8,361,ONT,OAK
309,0,1235,HOU,LAS
310,0,444,PDX,RNO
311,0,451,IND,MCI
312,12,666,JAN,MDW
313,-10,308,LAX,SJC
314,-4,189,AUS,DAL
315,-5,276,HRL,HOU
316,-5,333,ONT,SJC
317,-7,410,STL,BHM
318,-8,651,SFO,PHX
319,-9,440,DTW,STL
320,4,296,DAL,LIT
321,9,570,BHM,HOU
322,-1,283,BDL,BWI
323,-2,325,ONT,PHX
324,-5,446,OAK,SAN
325,-7,588,BWI,BNA
326,0,407,OAK,LAS
327,2,543,OAK,PDX
328,4,937,MDW,HOU
329,14,2106,LAS,BWI
330,-1,180,OAK,RNO
331,-13,281,BWI,BUF
332,-17,1489,MCI,SEA
333,-23,1073,MCO,PVD
334,-27,1977,BNA,SEA
335,-4,237,TUL,DAL
336,-7,288,ALB,BWI
337,3,303,MSY,HOU
338,4,358,SMF,BUR
339,5,487,ABQ,LAS
340,-10,325,BUR,OAK
341,-12,239,HOU,DAL
342,-16,1137,TPA,PVD
343,-2,1044,MCI,PHX
344,-2,1751,BNA,ONT
345,-5,239,DAL,HOU
346,-5,370,PHX,LAX
347,-6,1140,LAS,MCI
348,-8,369,BUR,PHX
349,-9,670,HOU,BNA
350,0,281,BUF,BWI
351,12,314,CLE,BWI
352,2,935,TUL,PHX
353,3,405,MCI,MDW
354,8,580,DAL,ABQ
355,13,283,BWI,BDL
356,-4,762,LAS,PDX
357,-5,236,LAX,LAS
358,0,682,BHM,BWI
359,3,471,BNA,MSY
360,5,371,SNA,OAK
361,13,829,CMH,TPA
362,-4,671,OAK,SEA
363,8,1242,AUS,LAX
364,18,513,JAX,MSY
365,36,1751,BNA,SAN
366,-10,328,PVD,BWI
367,-3,223,LAS,BUR
368,-6,307,CLE,MDW
369,-7,1772,LAS,CMH
370,0,325,OAK,BUR
371,0,612,TPA,BNA
372,-3,188,RNO,SJC
373,16,632,MDW,RDU
374,-10,303,HOU,MSY
375,-18,1301,PHX,MSY
376,-2,296,SJC,BUR
377,-21,632,RDU,MDW
378,-25,1489,MCI,OAK
379,-5,1479,MCI,SJC
380,-5,180,RNO,OAK
381,-8,419,OKC,HOU
382,0,293,DAL,LBB
383,10,291,SLC,BOI
384,4,663,BWI,JAX
385,7,907,BNA,PVD
386,8,1137,PVD,TPA
387,6,319,MAF,DAL
388,27,479,SMF,PDX
389,3,1301,MSY,PHX
390,7,590,LAX,SLC
391,-10,325,PHX,ONT
392,-12,1588,LAS,BNA
393,-12,601,PHX,RNO
394,-21,1448,PHX,BNA
395,-28,1618,LAS,BHM
396,-5,304,SAN,PHX
397,-5,462,OKC,STL
398,-5,520,LAS,BOI
399,6,324,AMA,DAL
400,18,687,HOU,STL
401,4,223,MCI,TUL
402,-15,714,ELP,LAX
403,-19,1363,MCI,LAX
404,-3,1107,PHX,SEA
405,-7,446,SAN,OAK
406,-7,647,SMF,PHX
407,-7,775,LAS,LBB
408,0,842,BWI,TPA
409,1,828,MCO,IND
410,77,279,PDX,GEG
411,13,515,BWI,IND
412,-1,687,HOU,STL
413,-10,605,SEA,SMF
414,-10,677,ABQ,LAX
415,-11,513,MSY,JAX
416,-15,337,OAK,LAX
417,-2,223,BUR,LAS
418,-5,1521,LAS,MDW
419,-5,397,LAS,SMF
420,-6,369,PHX,BUR
421,0,229,MDW,DTW
422,0,236,LAS,LAX
423,10,1501,MSY,LAS
424,5,727,SDF,TPA
425,9,888,JAN,BWI
426,18,630,SLC,PDX
427,-1,229,DTW,MDW
428,-5,197,ONT,LAS
429,-7,584,ELP,LAS
430,-9,217,IAH,DAL
431,-12,1670,BWI,ABQ
432,16,256,LAS,PHX
433,-1,507,SLC,PHX
434,-2,422,SLC,RNO
435,-21,569,PDX,SJC
436,-3,342,SJC,SNA
437,-3,361,OAK,ONT
438,-5,636,SAN,ELP
439,-6,251,MDW,STL
440,-6,386,SJC,LAS
441,0,341,AUS,LBB
442,18,588,SLC,OAK
443,2,303,MSY,HOU
444,-5,178,FLL,MCO
445,-5,373,LAX,SMF
446,-6,528,AUS,ELP
447,-8,1262,STL,PHX
448,12,1040,MCO,SAT
449,5,417,SJC,SAN
450,8,370,LAX,PHX
451,6,220,ISP,BWI
452,7,237,MCI,STL
453,12,181,OKC,DAL
454,-15,1140,MCI,LAS
