row,col,raw,plateid,query,array,normalized,score,supp
1,1,2677,1,1,1,NA,NA,-
1,2,1960,1,1,1,NA,NA,-
1,3,1919,1,1,17,NA,NA,-
1,4,1807,1,1,17,NA,NA,-
1,5,1798,1,1,33,NA,NA,-
1,6,1852,1,1,33,NA,NA,-
1,7,1564,1,1,49,NA,NA,-
1,8,1638,1,1,49,NA,NA,-
1,9,1894,1,1,65,NA,NA,-
1,10,1583,1,1,65,NA,NA,-
1,11,1755,1,1,81,NA,NA,-
1,12,1559,1,1,81,NA,NA,-
1,13,1413,1,1,97,NA,NA,-
1,14,1531,1,1,97,NA,NA,-
1,15,1618,1,1,113,NA,NA,-
1,16,1587,1,1,113,NA,NA,-
1,17,1430,1,1,129,NA,NA,-
1,18,1782,1,1,129,NA,NA,-
1,19,1672,1,1,145,NA,NA,-
1,20,1793,1,1,145,NA,NA,-
1,21,1906,1,1,161,NA,NA,-
1,22,1966,1,1,161,NA,NA,-
1,23,1985,1,1,177,NA,NA,-
1,24,2074,1,1,177,NA,NA,-
1,25,1953,1,1,193,NA,NA,-
1,26,2142,1,1,193,NA,NA,-
1,27,2222,1,1,209,NA,NA,-
1,28,2164,1,1,209,NA,NA,-
1,29,2095,1,1,225,NA,NA,-
1,30,2203,1,1,225,NA,NA,-
1,31,1884,1,1,241,NA,NA,-
1,32,2126,1,1,241,NA,NA,-
1,33,1991,1,1,257,NA,NA,-
1,34,1998,1,1,257,NA,NA,-
1,35,1886,1,1,273,NA,NA,-
1,36,1712,1,1,273,NA,NA,-
1,37,1660,1,1,289,NA,NA,-
1,38,1808,1,1,289,NA,NA,-
1,39,1424,1,1,305,NA,NA,-
1,40,1430,1,1,305,NA,NA,-
1,41,1592,1,1,321,NA,NA,-
1,42,1725,1,1,321,NA,NA,-
1,43,1554,1,1,337,NA,NA,-
1,44,1632,1,1,337,NA,NA,-
1,45,1810,1,1,353,NA,NA,-
1,46,1745,1,1,353,NA,NA,-
1,47,1857,1,1,369,NA,NA,-
1,48,2288,1,1,369,NA,NA,-
2,1,1930,1,1,1,NA,NA,-
2,2,1078,1,1,1,NA,NA,-
2,3,1616,1,1,17,NA,NA,-
2,4,1638,1,1,17,NA,NA,-
