row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
1	1	232.5	plate.jpg.dat	1	YOR202W_DMA1	551.34471680737	NA	NA
1	2	209.25	plate.jpg.dat	1	YOR202W_DMA1	573.542981036727	NA	status=JK
1	3	203	plate.jpg.dat	1	YOR202W_DMA1	551.553235945771	NA	NA
1	4	194.75	plate.jpg.dat	1	YOR202W_DMA1	496.559900299273	NA	NA
1	5	193.25	plate.jpg.dat	1	YOR202W_DMA1	487.609966244507	NA	NA
1	6	172.25	plate.jpg.dat	1	YOR202W_DMA1	448.228374549752	NA	NA
1	7	176.25	plate.jpg.dat	1	YOR202W_DMA1	494.839635748469	NA	status=JK
1	8	192	plate.jpg.dat	1	YOR202W_DMA1	485.243655279661	NA	NA
1	9	176.5	plate.jpg.dat	1	YOR202W_DMA1	487.6089368325	NA	status=JK
1	10	187.5	plate.jpg.dat	1	YOR202W_DMA1	468.152976062474	NA	NA
1	11	198.25	plate.jpg.dat	1	YOR202W_DMA1	487.609558599601	NA	NA
1	12	207.75	plate.jpg.dat	1	YOR202W_DMA1	510.715328591664	NA	NA
1	13	213	plate.jpg.dat	1	YOR202W_DMA1	509.766070103323	NA	NA
1	14	192.75	plate.jpg.dat	1	YOR202W_DMA1	459.236071607883	NA	NA
1	15	208	plate.jpg.dat	1	YOR202W_DMA1	508.397175020125	NA	NA
1	16	190.25	plate.jpg.dat	1	YOR202W_DMA1	474.223133305919	NA	NA
1	17	193	plate.jpg.dat	1	YOR202W_DMA1	532.161751569747	NA	status=JK
1	18	183	plate.jpg.dat	1	YOR202W_DMA1	504.283411882	NA	NA
1	19	172.25	plate.jpg.dat	1	YOR202W_DMA1	503.027976384955	NA	NA
1	20	167.25	plate.jpg.dat	1	YOR202W_DMA1	491.136922199268	NA	NA
1	21	180.75	plate.jpg.dat	1	YOR202W_DMA1	530.761076364759	NA	NA
1	22	192	plate.jpg.dat	1	YOR202W_DMA1	607.572687164849	NA	NA
1	23	190.25	plate.jpg.dat	1	YOR202W_DMA1	616.950978530864	NA	NA
1	24	211.75	plate.jpg.dat	1	YOR202W_DMA1	588.782290993851	NA	NA
2	1	232	plate.jpg.dat	1	YOR202W_DMA1	534.364013850821	NA	NA
2	2	201.5	plate.jpg.dat	1	YBR030W_DMA193	560.137346196679	NA	NA
2	3	192.5	plate.jpg.dat	1	YBR138C_DMA290	528.498649759209	NA	NA
2	4	187.5	plate.jpg.dat	1	YBR028C_DMA194	499.076093876488	NA	NA
2	5	185	plate.jpg.dat	1	YBR137W_DMA291	496.814387873011	NA	NA
2	6	180.5	plate.jpg.dat	1	YBR027C_DMA195	502.407185197621	NA	NA
2	7	179.5	plate.jpg.dat	1	YBR134W_DMA292	493.30518181018	NA	NA
2	8	185.5	plate.jpg.dat	1	YBR026C_DMA196	519.809446767117	NA	status=JK
2	9	189.25	plate.jpg.dat	1	YBR132C_DMA293	514.900207826433	NA	NA
2	10	194.25	plate.jpg.dat	1	YBR025C_DMA197	528.310827370149	NA	status=JK
2	11	183	plate.jpg.dat	1	YBR131W_DMA294	477.240312697338	NA	NA
2	12	188.75	plate.jpg.dat	1	YBR024W_DMA198	465.989324540636	NA	status=JK
2	13	201.75	plate.jpg.dat	1	YBR130C_DMA295	515.361583400904	NA	NA
2	14	190.75	plate.jpg.dat	1	YBR023C_DMA199	486.436412915112	NA	NA
2	15	200	plate.jpg.dat	1	YBR129C_DMA296	535.888860842762	NA	status=JK
2	16	195.5	plate.jpg.dat	1	YBR022W_DMA200	512.563624348236	NA	NA
2	17	182	plate.jpg.dat	1	YBR128C_DMA297	505.546753213562	NA	NA
2	18	139	plate.jpg.dat	1	YBR020W_DMA201	397.208768711177	NA	NA
2	19	172.25	plate.jpg.dat	1	YBR126C_DMA298	524.839053448089	NA	NA
2	20	159.75	plate.jpg.dat	1	YBR019C_DMA202	491.492314507804	NA	NA
2	21	175.25	plate.jpg.dat	1	YBR125C_DMA299	538.663650845679	NA	NA
2	22	160	plate.jpg.dat	1	YBR018C_DMA203	553.902023237115	NA	status=JK
2	23	152.5	plate.jpg.dat	1	YBR122C_DMA300	512.798773125531	NA	NA
2	24	160.5	plate.jpg.dat	1	YOR202W_DMA1	474.381457224656	NA	NA
3	1	240.75	plate.jpg.dat	1	YOR202W_DMA1	523.963424383338	NA	NA
3	2	193.25	plate.jpg.dat	1	YAL017W_DMA13	488.785290896564	NA	status=JK
3	3	187.25	plate.jpg.dat	1	YBL032W_DMA110	524.032569723291	NA	status=JK
3	4	151	plate.jpg.dat	1	YAL015C_DMA14	404.514493076543	NA	NA
3	5	191.75	plate.jpg.dat	1	YBL031W_DMA111	545.736213034893	NA	NA
3	6	177.5	plate.jpg.dat	1	YAL014C_DMA15	519.029169819362	NA	NA
3	7	192.5	plate.jpg.dat	1	YBL029W_DMA112	562.594068643209	NA	NA
3	8	177.5	plate.jpg.dat	1	YAL013W_DMA16	500.952730231524	NA	NA
