# Normalized by SGAtools 1.0.0 on 2013-03-17 14:56:15
# Image analyzed by HT colony grid analyzer 1.1.7 on 03-17-2013 14:55:58
row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
1	1	280	plate.jpg.dat	1	1	589.497890093307	NA	NA
1	2	228	plate.jpg.dat	1	1	548.290251084205	NA	NA
1	3	244	plate.jpg.dat	1	17	NA	NA	status=JK
1	4	211	plate.jpg.dat	1	17	574.800006387312	NA	NA
1	5	214	plate.jpg.dat	1	33	563.998447928117	NA	NA
1	6	217	plate.jpg.dat	1	33	547.241169183436	NA	NA
1	7	185	plate.jpg.dat	1	49	450.923403168732	NA	NA
1	8	194	plate.jpg.dat	1	49	451.74722754566	NA	NA
1	9	206	plate.jpg.dat	1	65	485.997843350865	NA	NA
1	10	213	plate.jpg.dat	1	65	515.192358460258	NA	NA
1	11	193	plate.jpg.dat	1	81	474.975520199549	NA	NA
1	12	180	plate.jpg.dat	1	81	443.974335883372	NA	NA
1	13	143	plate.jpg.dat	1	97	NA	NA	status=JK
1	14	193	plate.jpg.dat	1	97	464.774320080386	NA	NA
1	15	196	plate.jpg.dat	1	113	464.759085220821	NA	NA
1	16	200	plate.jpg.dat	1	113	475.23348110253	NA	NA
1	17	144	plate.jpg.dat	1	129	NA	NA	status=JK
1	18	198	plate.jpg.dat	1	129	474.564109989645	NA	NA
1	19	190	plate.jpg.dat	1	145	448.17941215374	NA	NA
1	20	204	plate.jpg.dat	1	145	478.674748042213	NA	NA
1	21	207	plate.jpg.dat	1	161	482.495033458648	NA	NA
1	22	221	plate.jpg.dat	1	161	514.619574731039	NA	NA
1	23	220	plate.jpg.dat	1	177	512.443431068701	NA	NA
1	24	231	plate.jpg.dat	1	177	539.58972520385	NA	NA
1	25	262	plate.jpg.dat	1	193	610.581622934184	NA	NA
1	26	235	plate.jpg.dat	1	193	534.038406895653	NA	NA
1	27	205	plate.jpg.dat	1	209	462.60300991109	NA	NA
1	28	237	plate.jpg.dat	1	209	550.241365753136	NA	NA
1	29	218	plate.jpg.dat	1	225	503.837164797064	NA	NA
1	30	227	plate.jpg.dat	1	225	525.487802197647	NA	NA
1	31	161	plate.jpg.dat	1	241	365.498178732028	NA	NA
1	32	207	plate.jpg.dat	1	241	490.566289725198	NA	NA
1	33	217	plate.jpg.dat	1	257	534.310099042109	NA	NA
1	34	178	plate.jpg.dat	1	257	NA	NA	status=JK
1	35	195	plate.jpg.dat	1	273	497.548261359456	NA	NA
1	36	164	plate.jpg.dat	1	273	429.294057858993	NA	NA
1	37	139	plate.jpg.dat	1	289	379.593889608023	NA	NA
1	38	204	plate.jpg.dat	1	289	561.453845004951	NA	NA
1	39	174	plate.jpg.dat	1	305	481.979289194831	NA	NA
1	40	178	plate.jpg.dat	1	305	489.116311220319	NA	NA
1	41	201	plate.jpg.dat	1	321	546.975044735677	NA	NA
1	42	219	plate.jpg.dat	1	321	614.426739111777	NA	NA
1	43	213	plate.jpg.dat	1	337	620.182714050035	NA	NA
1	44	206	plate.jpg.dat	1	337	626.476376027976	NA	NA
1	45	239	plate.jpg.dat	1	353	720.221395394987	NA	NA
1	46	247	plate.jpg.dat	1	353	719.386907077546	NA	NA
1	47	203	plate.jpg.dat	1	369	572.474023748527	NA	NA
1	48	265	plate.jpg.dat	1	369	643.044512896843	NA	NA
2	1	242	plate.jpg.dat	1	1	573.419030629896	NA	NA
2	2	180	plate.jpg.dat	1	1	494.171695422072	NA	NA
2	3	193	plate.jpg.dat	1	17	573.156138113849	NA	NA
2	4	189	plate.jpg.dat	1	17	572.672798609019	NA	NA
2	5	194	plate.jpg.dat	1	33	569.110110815886	NA	NA
2	6	187	plate.jpg.dat	1	33	525.863215855645	NA	NA
2	7	195	plate.jpg.dat	1	49	536.484985642617	NA	NA
2	8	205	plate.jpg.dat	1	49	547.083984840081	NA	NA
2	9	188	plate.jpg.dat	1	65	501.368410117098	NA	NA
2	10	166	plate.jpg.dat	1	65	447.881253049807	NA	NA
2	11	150	plate.jpg.dat	1	81	411.288838492489	NA	NA
2	12	166	plate.jpg.dat	1	81	462.674803623597	NA	NA
2	13	187	plate.jpg.dat	1	97	522.748029876595	NA	NA
2	14	182	plate.jpg.dat	1	97	496.996557288427	NA	NA
2	15	190	plate.jpg.dat	1	113	511.806303229389	NA	NA
2	16	182	plate.jpg.dat	1	113	489.175751565904	NA	NA
2	17	174	plate.jpg.dat	1	129	470.970958583642	NA	NA
2	18	190	plate.jpg.dat	1	129	517.291741924215	NA	NA
2	19	192	plate.jpg.dat	1	145	516.849202587718	NA	NA
2	20	164	plate.jpg.dat	1	145	428.908541466227	NA	NA
2	21	178	plate.jpg.dat	1	161	465.556393756958	NA	NA
2	22	187	plate.jpg.dat	1	161	487.76723245176	NA	NA
2	23	187	plate.jpg.dat	1	177	487.46914977153	NA	NA
2	24	193	plate.jpg.dat	1	177	503.359008322575	NA	NA
2	25	182	plate.jpg.dat	1	193	463.787695165196	NA	NA
2	26	173	plate.jpg.dat	1	193	430.656555418256	NA	NA
2	27	189	plate.jpg.dat	1	209	480.126817721633	NA	NA
2	28	140	plate.jpg.dat	1	209	343.973093045674	NA	NA
2	29	207	plate.jpg.dat	1	225	541.159691188099	NA	NA
2	30	180	plate.jpg.dat	1	225	463.104041897689	NA	NA
2	31	208	plate.jpg.dat	1	241	547.041901024917	NA	NA
2	32	185	plate.jpg.dat	1	241	493.786163741533	NA	NA
2	33	188	plate.jpg.dat	1	257	522.269879625015	NA	NA
2	34	189	plate.jpg.dat	1	257	539.905276042117	NA	NA
2	35	185	plate.jpg.dat	1	273	534.681182368329	NA	NA
2	36	188	plate.jpg.dat	1	273	555.610145941221	NA	NA
2	37	188	plate.jpg.dat	1	289	575.149806317767	NA	NA
2	38	158	plate.jpg.dat	1	289	495.914364609077	NA	NA
2	39	168	plate.jpg.dat	1	305	527.212142207228	NA	NA
2	40	149	plate.jpg.dat	1	305	466.239946174695	NA	NA
2	41	147	plate.jpg.dat	1	321	457.959548482091	NA	NA
2	42	156	plate.jpg.dat	1	321	503.68297312949	NA	NA
2	43	177	plate.jpg.dat	1	337	586.465972326096	NA	NA
2	44	172	plate.jpg.dat	1	337	597.165686255287	NA	NA
2	45	155	plate.jpg.dat	1	353	563.634771746535	NA	NA
2	46	120	plate.jpg.dat	1	353	464.560839904388	NA	NA
2	47	141	plate.jpg.dat	1	369	485.395446347452	NA	NA
2	48	238	plate.jpg.dat	1	369	654.215180982583	NA	NA
3	1	245	plate.jpg.dat	1	2	549.311689416988	NA	NA
3	2	204	plate.jpg.dat	1	2	516.45974711031	NA	NA
3	3	215	plate.jpg.dat	1	18	599.612112246896	NA	NA
3	4	173	plate.jpg.dat	1	18	503.494330319706	NA	NA
3	5	192	plate.jpg.dat	1	34	543.102764713307	NA	NA
3	6	192	plate.jpg.dat	1	34	525.52895896027	NA	NA
3	7	184	plate.jpg.dat	1	50	496.033520638906	NA	NA
3	8	200	plate.jpg.dat	1	50	530.865812240829	NA	NA
3	9	194	plate.jpg.dat	1	66	517.361760331172	NA	NA
3	10	190	plate.jpg.dat	1	66	516.720923792185	NA	NA
3	11	180	plate.jpg.dat	1	82	498.666444832585	NA	NA
3	12	155	plate.jpg.dat	1	82	426.849144698951	NA	NA
3	13	176	plate.jpg.dat	1	98	487.655195590684	NA	NA
3	14	183	plate.jpg.dat	1	98	498.061361474905	NA	NA
3	15	200	plate.jpg.dat	1	114	538.877915974865	NA	NA
3	16	163	plate.jpg.dat	1	114	NA	NA	status=JK
3	17	184	plate.jpg.dat	1	130	498.616395525616	NA	NA
3	18	174	plate.jpg.dat	1	130	468.505620184972	NA	NA
3	19	194	plate.jpg.dat	1	146	521.701018099278	NA	NA
3	20	200	plate.jpg.dat	1	146	533.374516569882	NA	NA
3	21	191	plate.jpg.dat	1	162	502.133879371656	NA	NA
3	22	181	plate.jpg.dat	1	162	468.425925367308	NA	NA
3	23	213	plate.jpg.dat	1	178	NA	NA	status=JK
3	24	178	plate.jpg.dat	1	178	456.82950189615	NA	NA
3	25	200	plate.jpg.dat	1	194	513.627107666192	NA	NA
3	26	196	plate.jpg.dat	1	194	494.08921367384	NA	NA
3	27	192	plate.jpg.dat	1	210	486.288254828157	NA	NA
3	28	187	plate.jpg.dat	1	210	478.329561359557	NA	NA
3	29	205	plate.jpg.dat	1	226	532.339852904419	NA	NA
3	30	181	plate.jpg.dat	1	226	NA	NA	status=JK
3	31	207	plate.jpg.dat	1	242	540.257768764033	NA	NA
3	32	201	plate.jpg.dat	1	242	535.08906040711	NA	NA
3	33	190	plate.jpg.dat	1	258	523.217987309902	NA	NA
3	34	170	plate.jpg.dat	1	258	478.770205971214	NA	NA
3	35	129	plate.jpg.dat	1	274	364.906508332993	NA	NA
3	36	150	plate.jpg.dat	1	274	437.337111227336	NA	NA
3	37	169	plate.jpg.dat	1	290	511.22658745194	NA	NA
3	38	179	plate.jpg.dat	1	290	553.616794222283	NA	NA
3	39	162	plate.jpg.dat	1	306	502.480421618751	NA	NA
3	40	160	plate.jpg.dat	1	306	492.865425942799	NA	NA
3	41	177	plate.jpg.dat	1	322	540.977952561908	NA	NA
3	42	180	plate.jpg.dat	1	322	563.103058150362	NA	NA
3	43	163	plate.jpg.dat	1	338	527.509191537517	NA	NA
3	44	169	plate.jpg.dat	1	338	566.564180800558	NA	NA
3	45	134	plate.jpg.dat	1	354	478.422668915956	NA	NA
3	46	160	plate.jpg.dat	1	354	541.056521669464	NA	NA
3	47	186	plate.jpg.dat	1	370	560.810864295826	NA	NA
3	48	146	plate.jpg.dat	1	370	437.351534993121	NA	NA
4	1	263	plate.jpg.dat	1	2	556.267419766683	NA	NA
4	2	216	plate.jpg.dat	1	2	515.417199109301	NA	NA
4	3	210	plate.jpg.dat	1	18	560.82140392806	NA	NA
4	4	208	plate.jpg.dat	1	18	576.621538292054	NA	NA
4	5	188	plate.jpg.dat	1	34	514.219792299797	NA	NA
4	6	198	plate.jpg.dat	1	34	531.14308306346	NA	NA
4	7	168	plate.jpg.dat	1	50	443.054491661112	NA	NA
4	8	198	plate.jpg.dat	1	50	526.350550965104	NA	NA
4	9	177	plate.jpg.dat	1	66	468.442907382458	NA	NA
4	10	179	plate.jpg.dat	1	66	484.73195998623	NA	NA
4	11	190	plate.jpg.dat	1	82	529.45285235633	NA	NA
4	12	197	plate.jpg.dat	1	82	554.660298902618	NA	NA
4	13	170	plate.jpg.dat	1	98	470.380254109292	NA	NA
4	14	189	plate.jpg.dat	1	98	517.123916065839	NA	NA
4	15	191	plate.jpg.dat	1	114	514.387264135099	NA	NA
4	16	188	plate.jpg.dat	1	114	506.163160191386	NA	NA
4	17	194	plate.jpg.dat	1	130	529.913210465727	NA	NA
4	18	205	plate.jpg.dat	1	130	562.565605129417	NA	NA
4	19	185	plate.jpg.dat	1	146	NA	NA	status=JK
4	20	198	plate.jpg.dat	1	146	529.856947441287	NA	NA
4	21	191	plate.jpg.dat	1	162	504.068954915617	NA	NA
