row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
1	1	232.5	plate.jpg.dat	1	1	551.34471680737	NA	NA
1	2	209.25	plate.jpg.dat	1	17	573.542981036727	NA	status=JK
1	3	203	plate.jpg.dat	1	33	551.553235945771	NA	NA
1	4	194.75	plate.jpg.dat	1	49	496.559900299273	NA	NA
1	5	193.25	plate.jpg.dat	1	65	487.609966244507	NA	NA
1	6	172.25	plate.jpg.dat	1	81	448.228374549752	NA	NA
1	7	176.25	plate.jpg.dat	1	97	494.839635748469	NA	status=JK
1	8	192	plate.jpg.dat	1	113	485.243655279661	NA	NA
1	9	176.5	plate.jpg.dat	1	129	487.6089368325	NA	status=JK
1	10	187.5	plate.jpg.dat	1	145	468.152976062474	NA	NA
1	11	198.25	plate.jpg.dat	1	161	487.609558599601	NA	NA
1	12	207.75	plate.jpg.dat	1	177	510.715328591664	NA	NA
1	13	213	plate.jpg.dat	1	193	509.766070103323	NA	NA
1	14	192.75	plate.jpg.dat	1	209	459.236071607883	NA	NA
1	15	208	plate.jpg.dat	1	225	508.397175020125	NA	NA
1	16	190.25	plate.jpg.dat	1	241	474.223133305919	NA	NA
1	17	193	plate.jpg.dat	1	257	532.161751569747	NA	status=JK
1	18	183	plate.jpg.dat	1	273	504.283411882	NA	NA
1	19	172.25	plate.jpg.dat	1	289	503.027976384955	NA	NA
1	20	167.25	plate.jpg.dat	1	305	491.136922199268	NA	NA
1	21	180.75	plate.jpg.dat	1	321	530.761076364759	NA	NA
1	22	192	plate.jpg.dat	1	337	607.572687164849	NA	NA
1	23	190.25	plate.jpg.dat	1	353	616.950978530864	NA	NA
1	24	211.75	plate.jpg.dat	1	369	588.782290993851	NA	NA
2	1	232	plate.jpg.dat	1	2	534.364013850821	NA	NA
2	2	201.5	plate.jpg.dat	1	18	560.137346196679	NA	NA
2	3	192.5	plate.jpg.dat	1	34	528.498649759209	NA	NA
2	4	187.5	plate.jpg.dat	1	50	499.076093876488	NA	NA
2	5	185	plate.jpg.dat	1	66	496.814387873011	NA	NA
2	6	180.5	plate.jpg.dat	1	82	502.407185197621	NA	NA
2	7	179.5	plate.jpg.dat	1	98	493.30518181018	NA	NA
2	8	185.5	plate.jpg.dat	1	114	519.809446767117	NA	status=JK
2	9	189.25	plate.jpg.dat	1	130	514.900207826433	NA	NA
2	10	194.25	plate.jpg.dat	1	146	528.310827370149	NA	status=JK
2	11	183	plate.jpg.dat	1	162	477.240312697338	NA	NA
2	12	188.75	plate.jpg.dat	1	178	465.989324540636	NA	status=JK
