row,col,raw,plateid,query,array,normalized,score,supp
1,1,1939,2,YDL250S,YOR202W_DMA1,451.758,-0.115,-
1,2,1736,2,YDL250S,YOR202W_DMA1,437.319,-0.143,-
1,3,91,2,YDL250S,YOR202W_DMA1,142.844,-0.718,-
1,4,894,2,YDL250S,YOR202W_DMA1,293.653,-0.424,-
1,5,1861,2,YDL250S,YOR202W_DMA1,499.562,-0.021,-
1,6,1929,2,YDL250S,YOR202W_DMA1,508.203,-0.004,-
1,7,2111,2,YDL250S,YOR202W_DMA1,535.256,0.048,-
1,8,2055,2,YDL250S,YOR202W_DMA1,514.402,0.008,-
1,9,1672,2,YDL250S,YOR202W_DMA1,442.669,-0.132,-
1,10,1878,2,YDL250S,YOR202W_DMA1,497.543,-0.025,-
1,11,1707,2,YDL250S,YOR202W_DMA1,458.724,-0.101,-
1,12,1909,2,YDL250S,YOR202W_DMA1,501.541,-0.017,-
1,13,2003,2,YDL250S,YOR202W_DMA1,518.299,0.015,-
1,14,2138,2,YDL250S,YOR202W_DMA1,536.957,0.052,-
1,15,1927,2,YDL250S,YOR202W_DMA1,487.772,-0.044,-
1,16,2247,2,YDL250S,YOR202W_DMA1,554.577,0.086,-
1,17,2027,2,YDL250S,YOR202W_DMA1,494.073,-0.032,-
1,18,2090,2,YDL250S,YOR202W_DMA1,496.529,-0.027,-
1,19,1864,2,YDL250S,YOR202W_DMA1,439.472,-0.139,-
1,20,2266,2,YDL250S,YOR202W_DMA1,533.532,0.045,-
1,21,2184,2,YDL250S,YOR202W_DMA1,523.533,0.026,-
1,22,2468,2,YDL250S,YOR202W_DMA1,593.902,0.163,-
1,23,2258,2,YDL250S,YOR202W_DMA1,546.56,0.071,-
1,24,2299,2,YDL250S,YOR202W_DMA1,558.911,0.095,-
1,25,2145,2,YDL250S,YOR202W_DMA1,525.059,0.029,-
1,26,2065,2,YDL250S,YOR202W_DMA1,508.317,-0.004,-
1,27,2354,2,YDL250S,YOR202W_DMA1,575.392,0.127,-
1,28,2174,2,YDL250S,YOR202W_DMA1,537.313,0.052,-
1,29,2320,2,YDL250S,YOR202W_DMA1,571.043,0.118,-
1,30,2125,2,YDL250S,YOR202W_DMA1,533.25,0.045,-
1,31,2228,2,YDL250S,YOR202W_DMA1,561.492,0.1,-
1,32,2098,2,YDL250S,YOR202W_DMA1,536.717,0.051,-
1,33,2266,2,YDL250S,YOR202W_DMA1,576.555,0.129,-
1,34,2260,2,YDL250S,YOR202W_DMA1,576.406,0.129,-
1,35,2032,2,YDL250S,YOR202W_DMA1,519.258,0.017,-
1,36,2021,2,YDL250S,YOR202W_DMA1,511.278,0.002,-
1,37,1987,2,YDL250S,YOR202W_DMA1,507.217,-0.006,-
1,38,1973,2,YDL250S,YOR202W_DMA1,512.386,0.004,-
1,39,1584,2,YDL250S,YOR202W_DMA1,427.444,-0.162,-
1,40,1223,2,YDL250S,YOR202W_DMA1,353.217,-0.307,-
1,41,1873,2,YDL250S,YOR202W_DMA1,505.777,-0.009,-
1,42,1477,2,YDL250S,YOR202W_DMA1,428.026,-0.161,-
1,43,1661,2,YDL250S,YOR202W_DMA1,464.531,-0.09,-
1,44,1416,2,YDL250S,YOR202W_DMA1,421.811,-0.173,-
1,45,1282,2,YDL250S,YOR202W_DMA1,405.268,-0.206,-
1,46,1344,2,YDL250S,YOR202W_DMA1,419.381,-0.178,-
1,47,1439,2,YDL250S,YOR202W_DMA1,429.733,-0.158,-
1,48,2081,2,YDL250S,YOR202W_DMA1,532.282,0.043,-
2,1,1333,2,YDL250S,YOR202W_DMA1,475.312,-0.069,-
2,2,1413,2,YDL250S,YOR202W_DMA1,513.002,0.005,-
2,3,1485,2,YDL250S,YOR202W_DMA1,554.405,0.086,-
