row,col,colonysize,plateid,query,array,normalizedcolonysize,score,supp
1,1,311,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,618.114,0.209,-
1,2,257,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,582.043,0.138,-
1,3,245,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,616.248,0.205,-
1,4,229,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,599.919,0.173,-
1,5,229,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,590.157,0.154,-
1,6,220,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,544.48,0.065,-
1,7,193,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,458.583,-0.103,-
1,8,203,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,460.089,-0.1,-
1,9,214,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,491.312,-0.039,-
1,10,205,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,476.249,-0.069,-
1,11,198,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,460.868,-0.099,-
1,12,195,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,450.805,-0.118,-
1,13,193,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,441.607,-0.136,-
1,14,173,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,391.411,-0.235,-
1,15,200,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,456.427,-0.107,-
1,16,193,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,434.748,-0.15,-
1,17,187,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,418.015,-0.183,-
1,18,218,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,495.764,-0.03,-
1,19,202,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,454.839,-0.111,-
1,20,200,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,447.113,-0.126,-
1,21,215,cln1cln2M_Y8835_1_mini.jpeg.dat,Y8835,YOR202W_DMA1,479.932,-0.061,-
