row,col,colonysize,plateid,query,array,normalizedcolonysize,score,supp
1,1,705,30847,YDL185W,YOR202W,-,-0.945844933390617,-
1,2,377,30847,YDL185W,YOR202W,-,-0.511770437005907,-
1,3,317,30847,YDL185W,YOR202W,-,-0.732188566587865,-
1,4,353,30847,YDL185W,YOR202W,-,-0.487640192266554,-
1,5,360,30847,YDL185W,YOR202W,-,-0.261087501421571,-
1,6,375,30847,YDL185W,YOR202W,-,0.649725252296776,-
1,7,521,30847,YDL185W,YOR202W,-,0.109712004195899,-
1,8,389,30847,YDL185W,YOR202W,-,-0.763697331771255,-
1,9,376,30847,YDL185W,YOR202W,-,-0.888991944026202,-
1,10,349,30847,YDL185W,YOR202W,-,-0.801873399876058,-
1,11,418,30847,YDL185W,YOR202W,-,-0.852400953881443,-
1,12,455,30847,YDL185W,YOR202W,-,-0.278074450325221,-
1,13,470,30847,YDL185W,YOR202W,-,0.110568501520902,-
1,14,520,30847,YDL185W,YOR202W,-,0.124909691512585,-
1,15,512,30847,YDL185W,YOR202W,-,0.251036120578647,-
1,16,472,30847,YDL185W,YOR202W,-,0.860075362958014,-
1,17,484,30847,YDL185W,YOR202W,-,-0.641281725373119,-
1,18,504,30847,YDL185W,YOR202W,-,0.186293241102248,-
1,19,505,30847,YDL185W,YOR202W,-,-0.394949660636485,-
1,20,541,30847,YDL185W,YOR202W,-,0.211893440689892,-
1,21,485,30847,YDL185W,YOR202W,-,-0.999659248627722,-
1,22,507,30847,YDL185W,YOR202W,-,0.57723674364388,-
1,23,489,30847,YDL185W,YOR202W,-,-0.243040866218507,-
1,24,413,30847,YDL185W,YOR202W,-,0.975944759789854,-
1,25,447,30847,YDL185W,YOR202W,-,-0.884328631218523,-
1,26,462,30847,YDL185W,YOR202W,-,0.818108058068901,-
1,27,453,30847,YDL185W,YOR202W,-,-0.459849688224494,-
1,28,420,30847,YDL185W,YOR202W,-,0.341825136449188,-
1,29,464,30847,YDL185W,YOR202W,-,-0.430630729999393,-
1,30,439,30847,YDL185W,YOR202W,-,-0.328440570272505,-
1,31,460,30847,YDL185W,YOR202W,-,-0.244358166120946,-
1,32,447,30847,YDL185W,YOR202W,-,0.750018194317818,-
1,33,553,30847,YDL185W,YOR202W,-,-0.0456456267274916,-
1,34,464,30847,YDL185W,YOR202W,-,0.361427432391793,-
1,35,465,30847,YDL185W,YOR202W,-,0.791976027190685,-
1,36,445,30847,YDL185W,YOR202W,-,0.126412290148437,-
1,37,399,30847,YDL185W,YOR202W,-,-0.234184776432812,-
1,38,434,30847,YDL185W,YOR202W,-,-0.0708850007504225,-
1,39,366,30847,YDL185W,YOR202W,-,-0.222040030639619,-
1,40,390,30847,YDL185W,YOR202W,-,0.532881399616599,-
1,41,380,30847,YDL185W,YOR202W,-,-0.0256618508137763,-
1,42,346,30847,YDL185W,YOR202W,-,-0.0768561186268926,-
1,43,362,30847,YDL185W,YOR202W,-,0.752202764619142,-
1,44,381,30847,YDL185W,YOR202W,-,-0.218309382442385,-
1,45,399,30847,YDL185W,YOR202W,-,-0.632082304451615,-
1,46,341,30847,YDL185W,YOR202W,-,0.395121265202761,-
1,47,378,30847,YDL185W,YOR202W,-,-0.689543580636382,-
1,48,546,30847,YDL185W,YOR202W,-,0.000814166385680437,-
2,1,412,30847,YDL185W,YOR202W,-,0.0526497485116124,-
2,2,445,30847,YDL185W,YOR202W,-,0.116894135717303,-
2,3,378,30847,YDL185W,YOR202W,-,-0.144431232940406,-
2,4,453,30847,YDL185W,YOR202W,-,0.497400269377977,-
2,5,362,30847,YDL185W,YOR202W,-,-0.85663227410987,-
2,6,356,30847,YDL185W,YOR202W,-,-0.350370120257139,-
2,7,400,30847,YDL185W,YOR202W,-,0.9651291933842,-
2,8,351,30847,YDL185W,YOR202W,-,0.695970042608678,-
2,9,393,30847,YDL185W,YOR202W,-,0.738969195168465,-
2,10,331,30847,YDL185W,YOR202W,-,0.103494370821863,-
2,11,394,30847,YDL185W,YOR202W,-,-0.9219780866988,-
2,12,348,30847,YDL185W,YOR202W,-,0.724768157117069,-
2,13,402,30847,YDL185W,YOR202W,-,0.925989811774343,-
2,14,380,30847,YDL185W,YOR202W,-,-0.666344475001097,-
2,15,385,30847,YDL185W,YOR202W,-,-0.743544375523925,-
2,16,394,30847,YDL185W,YOR202W,-,0.730546921025962,-
2,17,398,30847,YDL185W,YOR202W,-,0.120738638099283,-
2,18,358,30847,YDL185W,YOR202W,-,-0.60683149471879,-
2,19,408,30847,YDL185W,YOR202W,-,-0.787862970959395,-
2,20,323,30847,YDL185W,YOR202W,-,0.751185828819871,-
2,21,324,30847,YDL185W,YOR202W,-,0.823539916425943,-
2,22,344,30847,YDL185W,YOR202W,-,-0.311860676389188,-
2,23,329,30847,YDL185W,YOR202W,-,-0.651961859781295,-
2,24,366,30847,YDL185W,YOR202W,-,-0.161821395158768,-
2,25,323,30847,YDL185W,YOR202W,-,0.91266655176878,-
2,26,359,30847,YDL185W,YOR202W,-,0.304378698114306,-
2,27,350,30847,YDL185W,YOR202W,-,-0.650562483817339,-
2,28,339,30847,YDL185W,YOR202W,-,0.602252697572112,-
2,29,327,30847,YDL185W,YOR202W,-,0.110116980038583,-
2,30,400,30847,YDL185W,YOR202W,-,-0.182580900844187,-
2,31,326,30847,YDL185W,YOR202W,-,0.087402515579015,-
2,32,353,30847,YDL185W,YOR202W,-,-0.33206223230809,-
2,33,348,30847,YDL185W,YOR202W,-,0.406917098909616,-
2,34,369,30847,YDL185W,YOR202W,-,0.980562962125987,-
2,35,276,30847,YDL185W,YOR202W,-,0.440892827697098,-
2,36,299,30847,YDL185W,YOR202W,-,-0.647577136289328,-
2,37,351,30847,YDL185W,YOR202W,-,-0.143551477231085,-
2,38,334,30847,YDL185W,YOR202W,-,0.017791508231312,-
2,39,325,30847,YDL185W,YOR202W,-,0.176261828746647,-
2,40,340,30847,YDL185W,YOR202W,-,0.818587315734476,-
2,41,388,30847,YDL185W,YOR202W,-,-0.0269989860244095,-
2,42,247,30847,YDL185W,YOR202W,-,-0.458714115433395,-
2,43,372,30847,YDL185W,YOR202W,-,0.785267940256745,-
2,44,357,30847,YDL185W,YOR202W,-,-0.326933486387134,-
2,45,313,30847,YDL185W,YOR202W,-,-0.0581140909343958,-
2,46,397,30847,YDL185W,YOR202W,-,0.424984013661742,-
2,47,332,30847,YDL185W,YOR202W,-,-0.997473960742354,-
2,48,360,30847,YDL185W,YOR202W,-,0.312736329622567,-
3,1,409,30847,YDL185W,YOR202W,-,-0.935598909854889,-
3,2,439,30847,YDL185W,YOR202W,-,-0.667458271142095,-
3,3,329,30847,YDL185W,YBR030W,504.338662,0.385516687761992,-
3,4,312,30847,YDL185W,YBR030W,475.4111112,0.630170250311494,-
3,5,364,30847,YDL185W,YBR138C,528.2395426,0.741155536379665,-
3,6,391,30847,YDL185W,YBR138C,546.9246859,-0.53548909118399,-
3,7,379,30847,YDL185W,YBR028C,526.1750417,0.962937230244279,-
3,8,377,30847,YDL185W,YBR028C,516.0580275,-0.0252348324283957,-
3,9,393,30847,YDL185W,YBR137W,549.7858368,-0.437530730385333,-
3,10,389,30847,YDL185W,YBR137W,537.7169079,0.253757919650525,-
3,11,381,30847,YDL185W,YBR027C,515.0031531,0.340705885086209,-
3,12,383,30847,YDL185W,YBR027C,520.0576875,-0.316594688687474,-
3,13,401,30847,YDL185W,YBR134W,561.0140136,-0.0409972635097802,-
3,14,399,30847,YDL185W,YBR134W,571.9873267,0.615473268553615,-
3,15,324,30847,YDL185W,YBR026C,476.9746086,-0.594304848928005,-
3,16,299,30847,YDL185W,YBR026C,443.3511255,-0.447623338084668,-
3,17,358,30847,YDL185W,YBR132C,521.7318645,-0.737484116107225,-
3,18,394,30847,YDL185W,YBR132C,572.5975332,0.564734013285488,-
3,19,220,30847,YDL185W,YBR025C,-,0.433066468685865,-
3,20,255,30847,YDL185W,YBR025C,414.0578993,0.766138723585755,-
3,21,257,30847,YDL185W,YBR131W,423.8556813,-0.0479620518162847,-
3,22,201,30847,YDL185W,YBR131W,339.7665688,0.374646486714482,-
3,23,396,30847,YDL185W,YBR024W,583.2861487,-0.882874753326178,-
3,24,389,30847,YDL185W,YBR024W,-,-0.119441767223179,-
