#row  column  size-1  circ-1  MedInt-1
1 1 280 0.91 223
1 2 243 0.91 225
1 3 232 0.886 221
1 4 221 0.869 228
1 5 208 0.947 228
1 6 211 0.9 231
1 7 176 0.926 234
1 8 195 0.917 229
1 9 204 0.889 232
1 10 189 0.939 236
1 11 181 0.952 231
1 12 154 0.927 234
1 13 170 0.949 233
1 14 152 0.892 240
1 15 171 0.931 240
1 16 177 0.954 235
1 17 127 0.94 238
1 18 186 0.924 239
1 19 162 0.936 240
1 20 156 0.949 241
1 21 152 0.924 238
1 22 166 0.904 239
1 23 154 0.927 238
1 24 157 0.955 237
1 25 164 0.938 233
1 26 157 0.907 235
1 27 163 0.879 237
1 28 164 0.884 235
1 29 162 0.927 233
1 30 153 0.945 237
1 31 159 0.919 234
1 32 157 0.907 232
1 33 159 0.91 229
1 34 141 0.89 236
1 35 152 0.924 233
1 36 154 0.917 236
1 37 150 0.828 237
1 38 132 0.928 232
1 39 156 0.892 229
1 40 158 0.891 231
1 41 167 0.922 233
1 42 158 0.904 232
1 43 166 0.926 231
1 44 155 0.909 222
1 45 194 0.864 221
1 46 208 0.887 219
1 47 200 0.911 214
1 48 278 0.928 220
2 1 235 0.887 216
2 2 177 0.945 223
2 3 169 0.933 225
2 4 175 0.967 235
2 5 164 0.938 230
2 6 164 0.928 237
2 7 158 0.947 238
2 8 187 0.899 239
2 9 167 0.909 236
2 10 149 0.874 230
2 11 170 0.949 233
2 12 165 0.889 239
2 13 183 0.922 239
2 14 164 0.884 239
2 15 170 0.939 237
2 16 170 0.939 237
2 17 148 0.868 240
2 18 166 0.95 239
2 19 161 0.889 240
2 20 158 0.961 238
2 21 160 0.948 239
2 22 183 0.953 239
2 23 148 0.9 236
2 24 171 0.922 238
2 25 165 0.911 233
2 26 157 0.846 239
2 27 175 0.921 235
2 28 165 0.944 235
2 29 178 0.927 238
2 30 180 0.874 239
2 31 153 0.875 235
2 32 163 0.91 239
2 33 154 0.913 233
2 34 138 0.861 237
2 35 144 0.958 234
2 36 163 0.9 238
2 37 156 0.915 237
2 38 161 0.921 236
2 39 147 0.978 234
2 40 128 0.936 234
2 41 125 0.952 230
2 42 140 0.957 233
2 43 147 0.918 233
2 44 147 0.952 232
2 45 121 0.9 229
2 46 125 0.94 225
2 47 133 0.92 218
2 48 193 0.887 216
3 1 222 0.891 232
3 2 192 0.874 232
3 3 193 0.916 229
3 4 170 0.916 228
3 5 173 0.942 238
3 6 176 0.926 239
3 7 155 0.943 233
3 8 167 0.965 231
3 9 169 0.911 238
3 10 164 0.854 239
3 11 180 0.895 238
3 12 148 0.838 234
3 13 147 0.952 234
3 14 158 0.843 236
3 15 170 0.894 236
3 16 165 0.889 234
3 17 153 0.884 232
3 18 166 0.904 240
3 19 179 0.911 242
3 20 177 0.954 236
3 21 162 0.936 237
3 22 161 0.889 239
3 23 178 0.856 240
3 24 174 0.916 237
3 25 161 0.877 237
3 26 191 0.898 239
3 27 177 0.909 238
3 28 182 0.935 237
3 29 167 0.932 232
3 30 176 0.917 232
3 31 190 0.944 236
3 32 183 0.909 239
3 33 164 0.884 240
3 34 174 0.916 240
3 35 123 0.936 235
3 36 126 0.932 237
3 37 154 0.913 237
3 38 147 0.952 234
3 39 100 0.842 235
3 40 139 0.95 237
3 41 135 0.949 237
3 42 138 0.918 238
3 43 131 0.921 233
3 44 152 0.949 231
3 45 107 0.874 226
3 46 144 0.923 230
3 47 122 0.834 226
3 48 189 0.897 218
4 1 221 0.895 231
4 2 199 0.936 231
4 3 184 0.914 233
4 4 179 0.911 233
4 5 158 0.904 237
4 6 182 0.913 241
4 7 165 0.889 237
4 8 171 0.922 238
4 9 162 0.936 234
4 10 157 0.921 237
4 11 174 0.971 239
4 12 178 0.946 241
4 13 157 0.876 243
4 14 170 0.949 240
4 15 172 0.95 242
4 16 180 0.925 244
4 17 167 0.9 243
4 18 180 0.925 238
4 19 169 0.943 242
4 20 184 0.936 242
4 21 175 0.921 239
4 22 148 0.9 228
4 23 172 0.96 241
4 24 173 0.91 239
4 25 190 0.944 240
4 26 183 0.931 238
4 27 177 0.922 237
4 28 178 0.937 238
4 29 186 0.924 236
4 30 180 0.827 236
4 31 173 0.901 235
4 32 174 0.907 235
4 33 149 0.92 231
4 34 163 0.858 235
4 35 125 0.889 239
4 36 125 0.94 233
4 37 154 0.972 236
4 38 150 0.912 236
4 39 144 0.876 239
4 40 152 0.924 237
4 41 157 0.921 239
4 42 141 0.938 238
4 43 141 0.949 238
4 44 157 0.931 236
4 45 118 0.925 232
4 46 127 0.94 232
4 47 175 0.912 232
4 48 165 0.978 227
5 1 225 0.809 234
5 2 181 0.912 235
5 3 201 0.924 236
5 4 163 0.91 236
5 5 171 0.891 236
5 6 172 0.875 247
5 7 145 0.939 236
5 8 125 0.914 234
5 9 175 0.861 245
5 10 159 0.896 239
5 11 142 0.886 239
5 12 145 0.965 236
5 13 189 0.909 234
5 14 164 0.915 235
5 15 146 0.888 236
5 16 169 0.889 242
5 17 108 0.95 233
5 18 107 0.901 226
5 19 155 0.943 238
5 20 142 0.93 235
5 21 162 0.882 240
5 22 166 0.917 236
5 23 173 0.91 242
5 24 167 0.932 237
5 25 121 0.91 230
5 26 117 0.944 230
5 27 181 0.9 241
5 28 173 0.91 239
5 29 37 0.928 216
5 30 61 0.992 227
5 31 160 0.939 236
5 32 163 0.966 236
5 33 105 0.953 233
5 34 112 0.915 227
5 35 166 0.886 238
5 36 153 0.897 238
5 37 93 0.912 235
5 38 104 0.944 232
5 39 109 0.88 228
5 40 125 0.94 229
5 41 148 0.9 239
5 42 144 0.933 239
5 43 135 0.949 238
5 44 132 0.903 236
5 45 139 0.845 236
5 46 168 0.937 237
5 47 173 0.932 233
5 48 164 0.843 232
6 1 245 0.917 231
6 2 217 0.917 236
6 3 178 0.959 237
6 4 183 0.953 241
6 5 177 0.931 245
6 6 160 0.939 238
6 7 157 0.955 241
6 8 151 0.953 238
6 9 174 0.947 243
6 10 179 0.911 244
6 11 158 0.961 236
6 12 161 0.921 235
6 13 179 0.942 242
6 14 171 0.879 238
6 15 156 0.939 242
6 16 154 0.913 239
6 17 104 0.944 232
6 18 104 0.956 230
6 19 136 0.905 234
6 20 130 0.899 236
6 21 179 0.911 242
6 22 169 0.933 236
6 23 164 0.906 239
6 24 164 0.893 239
6 25 118 0.936 234
6 26 122 0.892 231
6 27 170 0.949 236
6 28 189 0.939 241
6 29 54 0.863 224
6 30 42 0.971 221
6 31 157 0.955 235
6 32 152 0.892 237
6 33 121 0.895 234
6 34 112 0.904 233
6 35 160 0.939 240
6 36 158 0.961 238
6 37 91 0.935 233
6 38 111 0.964 234
6 39 115 0.928 234
6 40 124 0.944 238
6 41 158 0.937 241
6 42 151 0.909 238
6 43 117 0.906 234
6 44 157 0.931 240
6 45 150 0.936 239
6 46 152 0.892 234
6 47 134 0.868 231
6 48 145 0.829 232
7 1 239 0.884 236
7 2 195 0.88 238
7 3 194 0.912 236
7 4 181 0.952 237
7 5 186 0.956 241
7 6 184 0.914 241
7 7 99 0.86 237
7 8 109 0.907 238
7 9 173 0.91 243
7 10 163 0.91 241
7 11 158 0.927 238
7 12 190 0.873 241
7 13 156 0.925 240
7 14 149 0.93 241
7 15 176 0.875 242
7 16 163 0.932 240
7 17 169 0.889 246
7 18 175 0.912 244
7 19 169 0.92 246
7 20 166 0.904 242
7 21 166 0.926 237
7 22 168 0.961 240
7 23 167 0.955 238
7 24 171 0.922 241
7 25 181 0.879 240
7 26 178 0.906 241
7 27 168 0.937 241
7 28 178 0.959 239
7 29 197 0.957 242
7 30 188 0.934 239
7 31 95 0.932 227
7 32 92 0.932 229
7 33 171 0.9 242
7 34 169 0.933 240
7 35 149 0.94 241
7 36 163 0.942 242
7 37 175 0.921 242
7 38 148 0.9 237
7 39 110 0.967 238
7 40 111 0.964 236
7 41 160 0.948 241
7 42 151 0.928 240
7 43 140 0.968 238
7 44 151 0.928 240
7 45 151 0.886 237
7 46 148 0.847 240
7 47 159 0.91 233
7 48 209 0.911 234
8 1 253 0.885 240
8 2 205 0.934 235
8 3 191 0.878 241
8 4 174 0.885 238
8 5 177 0.931 241
