#row  column  size-1  circ-1  MedInt-1
1 1 324 0.946 225
1 2 239 0.921 223
1 3 232 0.912 223
1 4 215 0.937 226
1 5 211 0.94 232
1 6 218 0.902 234
1 7 183 0.909 231
1 8 191 0.907 233
1 9 220 0.959 235
1 10 184 0.885 232
1 11 205 0.942 232
1 12 177 0.941 235
1 13 160 0.902 231
1 14 180 0.925 235
1 15 189 0.918 235
1 16 183 0.889 238
1 17 168 0.915 234
1 18 205 0.913 234
1 19 194 0.921 232
1 20 205 0.951 235
1 21 218 0.938 232
1 22 225 0.931 229
1 23 228 0.916 229
1 24 241 0.91 228
1 25 226 0.915 226
1 26 242 0.895 228
1 27 258 0.928 230
1 28 242 0.895 227
1 29 239 0.921 226
1 30 252 0.932 227
1 31 219 0.914 226
1 32 247 0.952 227
1 33 233 0.89 228
1 34 232 0.912 226
1 35 217 0.925 228
1 36 199 0.944 230
1 37 195 0.905 231
1 38 213 0.928 233
1 39 165 0.944 234
1 40 166 0.936 233
1 41 184 0.945 232
1 42 200 0.94 231
1 43 181 0.908 231
1 44 188 0.934 226
1 45 216 0.894 224
1 46 211 0.92 216
1 47 230 0.886 215
1 48 278 0.911 222
2 1 235 0.924 216
2 2 134 0.859 216
2 3 190 0.893 227
2 4 193 0.928 232
2 5 184 0.914 233
2 6 162 0.917 234
2 7 197 0.926 239
2 8 149 0.874 231
2 9 183 0.963 236
2 10 193 0.92 238
2 11 162 0.927 234
2 12 162 0.895 230
2 13 180 0.903 231
2 14 171 0.922 240
2 15 183 0.94 235
2 16 172 0.927 238
2 17 184 0.968 235
2 18 181 0.921 235
2 19 176 0.866 236
2 20 155 0.887 235
2 21 184 0.894 237
2 22 185 0.911 236
2 23 185 0.941 233
2 24 176 0.887 233
2 25 181 0.93 232
2 26 171 0.922 232
2 27 186 0.933 231
2 28 180 0.925 231
2 29 160 0.862 226
2 30 200 0.94 235
2 31 182 0.926 233
2 32 181 0.952 230
2 33 182 0.884 232
2 34 190 0.923 235
2 35 174 0.916 235
2 36 170 0.845 236
2 37 160 0.948 234
2 38 165 0.954 237
2 39 139 0.845 237
2 40 161 0.921 235
2 41 157 0.898 236
2 42 149 0.906 236
2 43 169 0.943 234
2 44 148 0.868 227
2 45 151 0.918 232
2 46 151 0.918 230
2 47 141 0.848 226
2 48 208 0.927 222
3 1 256 0.895 229
3 2 202 0.929 227
3 3 215 0.917 229
3 4 187 0.929 227
3 5 167 0.922 232
3 6 183 0.94 239
3 7 169 0.967 234
3 8 183 0.918 227
3 9 177 0.954 238
3 10 195 0.917 241
3 11 180 0.947 242
3 12 155 0.865 237
3 13 183 0.918 233
3 14 189 0.889 243
3 15 190 0.944 241
3 16 195 0.929 235
3 17 168 0.915 237
3 18 195 0.888 242
3 19 151 0.886 234
3 20 176 0.935 240
3 21 195 0.896 238
3 22 174 0.938 238
3 23 195 0.947 235
3 24 159 0.857 232
3 25 184 0.927 236
3 26 199 0.923 237
3 27 186 0.924 234
3 28 185 0.941 233
3 29 189 0.918 229
3 30 183 0.931 228
3 31 186 0.924 234
3 32 166 0.873 231
3 33 187 0.951 237
3 34 181 0.93 238
3 35 138 0.929 235
3 36 144 0.958 235
3 37 153 0.921 235
3 38 171 0.87 241
3 39 150 0.972 240
3 40 163 0.932 239
3 41 172 0.95 242
3 42 154 0.872 238
3 43 163 0.932 238
3 44 173 0.956 236
3 45 135 0.949 228
3 46 160 0.884 228
3 47 180 0.866 227
3 48 157 0.826 227
4 1 248 0.91 230
4 2 208 0.906 232
4 3 209 0.891 236
4 4 195 0.947 242
4 5 187 0.917 241
4 6 203 0.933 243
4 7 176 0.949 239
4 8 191 0.928 242
4 9 178 0.915 242
4 10 176 0.875 241
4 11 192 0.924 243
4 12 180 0.947 238
4 13 183 0.909 242
4 14 188 0.934 239
4 15 191 0.898 242
4 16 187 0.929 241
4 17 185 0.898 242
4 18 197 0.878 241
4 19 192 0.932 237
4 20 187 0.92 236
4 21 190 0.923 243
4 22 186 0.956 232
4 23 185 0.928 238
4 24 193 0.937 237
4 25 206 0.918 236
4 26 190 0.923 235
4 27 187 0.908 235
4 28 191 0.862 240
4 29 202 0.846 232
4 30 201 0.868 235
4 31 178 0.915 234
4 32 184 0.923 237
4 33 172 0.936 237
4 34 177 0.901 241
4 35 134 0.953 234
4 36 150 0.936 237
4 37 160 0.893 236
4 38 142 0.854 239
4 39 187 0.929 244
4 40 157 0.941 239
4 41 173 0.956 242
4 42 159 0.91 238
4 43 134 0.916 236
4 44 169 0.933 240
4 45 152 0.949 235
4 46 150 0.936 231
4 47 176 0.935 230
4 48 168 0.875 231
5 1 258 0.92 233
5 2 219 0.926 233
5 3 193 0.852 237
5 4 196 0.943 237
5 5 179 0.942 242
5 6 169 0.967 237
5 7 150 0.936 235
5 8 140 0.932 232
5 9 187 0.92 245
5 10 181 0.952 242
5 11 174 0.907 238
5 12 164 0.938 234
5 13 191 0.907 242
5 14 193 0.907 242
5 15 171 0.922 241
5 16 166 0.853 239
5 17 43 0.909 224
5 18 105 0.912 228
5 19 153 0.907 235
5 20 149 0.906 232
5 21 158 0.927 234
5 22 157 0.826 235
5 23 191 0.949 240
5 24 182 0.935 238
5 25 148 0.914 234
5 26 144 0.933 233
5 27 196 0.901 236
5 28 211 0.94 239
5 29 44 0.847 218
5 30 32 -1.0 214
5 31 163 0.956 236
5 32 153 0.854 235
5 33 130 0.924 233
5 34 120 0.877 230
5 35 171 0.954 237
5 36 164 0.884 238
5 37 96 0.911 234
5 38 131 0.906 237
5 39 162 0.904 237
5 40 141 0.949 237
5 41 141 0.913 240
5 42 165 0.944 238
5 43 170 0.916 238
5 44 161 0.898 240
5 45 155 0.909 231
5 46 186 0.903 237
5 47 194 0.933 236
5 48 204 0.897 235
6 1 274 0.897 236
6 2 229 0.908 239
6 3 195 0.917 240
6 4 202 0.929 242
6 5 187 0.961 242
6 6 192 0.903 241
6 7 144 0.933 238
6 8 155 0.943 237
6 9 180 0.938 242
6 10 187 0.92 243
6 11 188 0.956 240
6 12 162 0.95 238
6 13 191 0.919 244
6 14 182 0.926 239
6 15 178 0.876 242
6 16 177 0.931 243
6 17 82 0.793 231
6 18 91 0.922 231
6 19 147 0.928 236
6 20 148 0.934 234
6 21 153 0.854 237
6 22 147 0.952 234
6 23 178 0.873 239
6 24 196 0.943 242
6 25 150 0.903 231
6 26 151 0.918 234
6 27 201 0.924 239
6 28 210 0.965 241
6 29 36 0.996 216
6 30 40 0.862 221
6 31 156 0.915 235
6 32 153 0.965 235
6 33 116 0.909 231
6 34 115 0.969 230
6 35 178 0.959 239
6 36 156 0.915 240
6 37 104 0.876 235
6 38 116 0.948 233
6 39 152 0.901 236
6 40 130 0.962 237
6 41 157 0.846 240
6 42 168 0.961 242
6 43 146 0.921 238
6 44 157 0.921 240
6 45 167 0.9 239
6 46 178 0.915 238
6 47 203 0.904 239
6 48 241 0.936 233
7 1 289 0.947 237
7 2 228 0.924 240
7 3 215 0.917 239
7 4 189 0.909 239
7 5 196 0.922 242
7 6 201 0.945 238
7 7 125 0.952 238
7 8 114 0.904 235
7 9 192 0.903 242
7 10 189 0.909 242
7 11 155 0.856 235
7 12 199 0.936 239
7 13 162 0.904 241
7 14 153 0.931 243
7 15 188 0.904 244
7 16 157 0.907 239
7 17 198 0.91 244
7 18 186 0.979 243
7 19 193 0.916 243
7 20 188 0.943 244
7 21 189 0.909 242
7 22 189 0.918 242
7 23 191 0.898 240
7 24 183 0.901 237
7 25 207 0.91 241
7 26 204 0.959 237
7 27 196 0.922 241
7 28 201 0.945 236
7 29 217 0.925 239
7 30 201 0.924 239
7 31 102 0.886 229
7 32 107 0.929 232
7 33 190 0.944 240
7 34 191 0.907 241
7 35 184 0.894 241
7 36 186 0.883 240
7 37 191 0.928 240
7 38 184 0.945 235
7 39 117 0.917 237
7 40 123 0.964 236
7 41 173 0.901 237
7 42 186 0.924 242
7 43 168 0.928 242
7 44 160 0.915 243
7 45 161 0.8 240
7 46 199 0.944 243
7 47 203 0.893 238
7 48 220 0.891 237
8 1 280 0.907 239
8 2 227 0.939 241
8 3 208 0.927 243
8 4 178 0.927 241
8 5 189 0.909 241
8 6 193 0.907 242
8 7 99 0.971 235
8 8 102 0.897 231
8 9 184 0.894 239
8 10 188 0.956 241
8 11 173 0.965 239
8 12 158 0.961 237
8 13 172 0.95 241
8 14 146 0.972 239
8 15 183 0.889 242
8 16 176 0.904 244
8 17 176 0.958 242
8 18 183 0.94 243
8 19 180 0.895 242
8 20 184 0.945 241
8 21 191 0.958 242
8 22 184 0.959 241
8 23 183 0.909 238
8 24 187 0.929 239
8 25 195 0.947 240
8 26 205 0.922 239
8 27 195 0.896 240
8 28 203 0.933 239
8 29 203 0.933 236
8 30 203 0.925 239
8 31 96 0.941 230
8 32 93 0.988 231
8 33 188 0.934 238
8 34 187 0.899 239
8 35 190 0.944 240
8 36 183 0.88 238
8 37 185 0.919 238
8 38 185 0.911 240
8 39 107 0.971 233
8 40 103 0.935 231
8 41 190 0.902 239
8 42 179 0.942 237
8 43 169 0.911 242
8 44 156 0.949 239
8 45 185 0.919 242
8 46 200 0.94 240
8 47 216 0.913 238
8 48 235 0.952 235
9 1 276 0.921 239
9 2 234 0.901 242
9 3 204 0.959 235
9 4 194 0.964 241
9 5 184 0.945 243
9 6 180 0.947 244
9 7 183 0.963 240
9 8 183 0.94 244
9 9 167 0.932 241
9 10 171 0.882 242
9 11 185 0.941 237
9 12 199 0.923 244
9 13 168 0.906 242
9 14 182 0.905 242
9 15 149 0.94 236
9 16 151 0.928 233
9 17 192 0.932 243
9 18 183 0.889 242
9 19 197 0.948 242
9 20 173 0.889 243
9 21 191 0.928 240
9 22 176 0.875 241
9 23 185 0.89 242
9 24 184 0.936 240
9 25 203 0.933 235
9 26 181 0.93 238
9 27 169 0.943 233
9 28 162 0.904 231
9 29 206 0.947 237
9 30 200 0.919 237
9 31 211 0.911 238
9 32 206 0.898 239
9 33 177 0.954 234
9 34 185 0.95 240
9 35 186 0.895 239
9 36 202 0.95 240
9 37 141 0.938 238
9 38 144 0.933 234
9 39 166 0.917 241
9 40 175 0.943 241
9 41 173 0.932 242
9 42 162 0.917 236
9 43 181 0.9 241
9 44 179 0.942 242
9 45 153 0.921 238
9 46 143 0.916 235
9 47 203 0.933 239
9 48 237 0.952 241
10 1 268 0.927 240
10 2 224 0.907 238
10 3 205 0.922 236
10 4 183 0.963 237
10 5 187 0.938 242
10 6 184 0.968 243
10 7 176 0.895 243
10 8 161 0.912 240
10 9 176 0.935 243
10 10 181 0.952 239
10 11 177 0.922 238
10 12 184 0.945 243
10 13 187 0.929 245
10 14 192 0.954 244
10 15 157 0.945 237
10 16 141 0.89 236
10 17 203 0.954 240
10 18 184 0.968 240
10 19 165 0.934 241
10 20 173 0.932 241
10 21 196 0.952 239
10 22 178 0.959 235
10 23 192 0.894 243
10 24 189 0.939 240
10 25 188 0.934 239
10 26 188 0.934 239
10 27 167 0.922 230
10 28 166 0.895 231
10 29 205 0.942 238
10 30 198 0.91 236
10 31 199 0.915 235
10 32 198 0.931 237
10 33 187 0.929 239
10 34 180 0.97 239
10 35 173 0.932 236
10 36 188 0.934 239
10 37 141 0.938 233
10 38 133 0.984 231
10 39 173 0.91 240
10 40 173 0.932 242
10 41 174 0.938 241
10 42 162 0.927 240
10 43 165 0.944 239
10 44 164 0.854 240
10 45 134 0.892 234
10 46 149 0.906 238
10 47 196 0.913 235
10 48 252 0.924 236
11 1 283 0.92 238
11 2 225 0.951 242
11 3 199 0.944 242
11 4 193 0.928 242
11 5 195 0.925 245
11 6 177 0.931 243
11 7 182 0.926 243
11 8 166 0.917 242
11 9 166 0.95 241
11 10 200 0.94 238
11 11 135 0.898 239
11 12 153 0.907 239
11 13 137 -1.0 237
11 14 122 0.929 233
11 15 99 0.958 237
11 16 92 0.846 231
11 17 182 0.913 243
11 18 183 0.931 242
11 19 176 0.926 242
11 20 153 0.875 237
11 21 194 0.942 242
11 22 187 0.951 238
11 23 173 0.932 237
11 24 180 0.947 239
11 25 126 0.896 231
11 26 149 0.965 232
11 27 137 0.947 233
11 28 142 0.945 235
11 29 189 0.918 236
11 30 201 0.924 235
11 31 182 0.926 237
11 32 176 0.949 231
11 33 191 0.949 238
11 34 182 0.875 236
11 35 189 0.889 240
11 36 177 0.88 240
11 37 178 0.959 239
11 38 180 0.97 235
11 39 170 0.916 239
11 40 160 0.893 239
11 41 161 0.921 239
11 42 160 0.906 238
11 43 171 0.944 241
11 44 164 0.938 242
11 45 168 0.924 239
11 46 168 0.863 238
11 47 201 0.945 235
11 48 240 0.925 239
12 1 296 0.903 242
12 2 223 0.931 239
12 3 200 0.899 242
12 4 191 0.928 245
12 5 176 0.926 239
12 6 177 0.931 243
12 7 182 0.958 243
12 8 182 0.958 242
12 9 178 0.906 243
12 10 165 0.911 243
12 11 140 0.968 239
12 12 132 0.949 234
12 13 143 0.87 241
12 14 144 0.933 239
12 15 105 0.941 234
12 16 108 0.95 236
12 17 181 0.871 244
12 18 169 0.943 243
12 19 151 0.928 239
12 20 174 0.929 243
12 21 208 0.915 241
12 22 187 0.908 240
12 23 192 0.903 243
12 24 179 0.942 240
12 25 145 0.976 233
12 26 146 0.911 233
12 27 130 0.962 234
12 28 128 0.91 233
12 29 193 0.916 236
12 30 192 0.924 233
12 31 189 0.93 237
12 32 191 0.919 238
12 33 192 0.903 234
12 34 182 0.935 239
12 35 176 0.958 236
12 36 173 0.88 240
12 37 174 0.916 237
12 38 183 0.94 238
12 39 167 0.87 238
12 40 163 0.91 236
12 41 160 0.948 241
12 42 151 0.918 240
12 43 169 0.967 237
12 44 162 0.917 240
12 45 172 0.95 242
12 46 182 0.926 238
12 47 217 0.898 239
12 48 210 0.88 239
13 1 281 0.92 237
13 2 229 0.92 242
13 3 131 0.906 234
13 4 128 0.91 237
13 5 178 0.915 243
13 6 181 0.952 243
13 7 173 0.956 243
13 8 177 0.954 243
13 9 189 0.918 244
13 10 172 0.905 241
13 11 165 0.921 236
13 12 177 0.922 243
13 13 178 0.937 243
13 14 176 0.875 239
13 15 166 0.917 238
13 16 152 0.924 237
13 17 131 0.931 239
13 18 137 0.947 238
13 19 160 0.893 239
13 20 158 0.882 241
13 21 87 0.912 230
13 22 85 0.811 228
13 23 190 0.923 241
13 24 167 0.932 240
13 25 173 0.956 239
13 26 182 0.935 240
13 27 194 0.942 237
13 28 194 0.942 239
13 29 195 0.917 235
13 30 189 0.909 232
13 31 195 0.925 235
13 32 204 0.938 235
13 33 155 0.919 233
13 34 134 0.906 234
13 35 185 0.941 235
13 36 172 0.936 236
13 37 151 0.928 231
13 38 160 0.948 237
13 39 186 0.924 240
13 40 165 0.921 238
13 41 167 0.9 240
13 42 163 0.956 239
13 43 134 0.964 235
13 44 150 0.903 239
13 45 161 0.898 238
13 46 200 0.94 240
13 47 210 0.944 238
13 48 196 0.881 238
14 1 271 0.878 239
14 2 228 0.904 238
14 3 129 0.917 234
14 4 145 0.851 237
14 5 178 0.906 243
14 6 176 0.958 239
14 7 182 0.926 243
14 8 169 0.933 237
14 9 164 0.863 243
14 10 167 0.922 239
14 11 164 0.863 241
14 12 174 0.938 244
14 13 170 0.958 244
14 14 183 0.94 242
14 15 143 0.962 235
14 16 176 0.949 238
14 17 125 0.914 238
14 18 119 0.973 236
14 19 183 0.901 243
14 20 162 0.904 243
14 21 100 0.949 232
14 22 100 0.949 233
14 23 178 0.937 241
14 24 188 0.934 242
14 25 193 0.959 238
14 26 192 0.954 237
14 27 181 0.93 239
14 28 183 0.94 236
14 29 189 0.939 236
14 30 195 0.947 234
14 31 198 0.902 233
14 32 194 0.933 233
14 33 162 0.917 226
14 34 146 0.865 229
14 35 178 0.906 236
14 36 168 0.951 236
14 37 155 0.919 234
14 38 156 0.949 235
14 39 155 0.943 237
14 40 160 0.862 237
14 41 158 0.927 238
14 42 165 0.889 240
14 43 153 0.907 237
14 44 130 0.924 235
14 45 189 0.918 242
14 46 181 0.93 239
14 47 196 0.913 239
14 48 253 0.878 239
15 1 277 0.925 242
15 2 255 0.91 239
15 3 194 0.955 243
15 4 194 0.912 242
15 5 178 0.937 244
15 6 161 0.898 242
15 7 162 0.936 240
15 8 161 0.921 240
15 9 172 0.96 244
15 10 176 0.926 240
15 11 178 0.959 242
15 12 184 0.945 242
15 13 169 0.911 244
15 14 171 0.931 243
15 15 168 0.924 239
15 16 181 0.921 241
15 17 184 0.923 243
15 18 154 0.913 241
15 19 196 0.93 238
15 20 176 0.926 238
15 21 163 0.956 240
15 22 161 0.898 238
15 23 170 0.916 235
15 24 168 0.875 236
15 25 53 0.957 223
15 26 58 0.943 222
15 27 183 0.918 238
15 28 185 0.95 237
15 29 182 0.958 237
15 30 192 0.903 239
15 31 196 0.913 232
15 32 201 0.924 236
15 33 191 0.949 234
15 34 174 0.916 234
15 35 181 0.921 236
15 36 175 0.899 238
15 37 156 0.939 235
15 38 151 0.918 236
15 39 139 0.925 234
15 40 174 0.916 241
15 41 146 0.888 239
15 42 149 0.965 237
15 43 183 0.953 241
15 44 163 0.932 240
15 45 152 0.924 240
15 46 172 0.927 237
15 47 212 0.924 239
15 48 222 0.891 237
16 1 274 0.915 235
16 2 219 0.926 239
16 3 195 0.908 243
16 4 188 0.925 240
16 5 174 0.929 243
16 6 186 0.924 240
16 7 152 0.934 239
16 8 163 0.932 238
16 9 177 0.922 244
16 10 161 0.931 244
16 11 180 0.925 241
16 12 177 0.954 243
16 13 166 0.94 243
16 14 172 0.927 243
16 15 185 0.973 243
16 16 201 0.904 244
16 17 168 0.915 242
16 18 159 0.9 242
16 19 186 0.916 239
16 20 198 0.931 239
16 21 177 0.901 239
16 22 166 0.959 241
16 23 157 0.955 233
16 24 161 0.921 232
16 25 63 0.844 228
16 26 36 0.903 215
16 27 180 0.916 236
16 28 181 0.921 234
16 29 180 0.925 237
16 30 184 0.936 236
16 31 193 0.937 235
16 32 197 0.935 232
16 33 184 0.914 240
16 34 186 0.916 238
16 35 172 0.927 235
16 36 177 0.901 237
16 37 167 0.932 237
16 38 159 0.91 237
16 39 159 0.887 238
16 40 147 0.918 237
16 41 160 0.884 234
16 42 161 0.889 239
16 43 170 0.949 240
16 44 173 0.932 237
16 45 169 0.943 239
16 46 170 0.903 237
16 47 181 0.891 234
16 48 244 0.913 235
17 1 259 0.888 238
17 2 230 0.905 239
17 3 188 0.925 240
17 4 180 0.947 240
17 5 184 0.936 246
17 6 185 0.941 245
17 7 190 0.935 242
17 8 182 0.926 239
17 9 94 0.953 231
17 10 84 0.957 232
17 11 165 0.944 241
17 12 156 0.915 241
17 13 143 0.86 237
17 14 136 0.827 233
17 15 183 0.909 242
17 16 183 0.94 241
17 17 89 0.933 235
17 18 77 -1.0 230
17 19 143 0.952 241
17 20 165 0.954 242
17 21 126 0.932 236
17 22 103 0.867 232
17 23 162 0.927 236
17 24 168 0.928 240
17 25 176 0.958 242
17 26 181 0.976 237
17 27 171 0.9 235
17 28 168 0.937 236
17 29 184 0.927 239
17 30 185 0.95 236
17 31 182 0.958 235
17 32 191 0.972 237
17 33 123 0.964 229
17 34 76 0.944 225
17 35 161 0.839 235
17 36 182 0.905 238
17 37 171 0.944 236
17 38 159 0.943 236
17 39 165 0.944 239
17 40 165 0.921 238
17 41 151 0.953 234
17 42 163 0.9 235
17 43 163 0.9 238
17 44 156 0.925 237
17 45 174 0.916 236
17 46 154 0.947 238
17 47 218 0.95 238
17 48 207 0.814 235
18 1 279 0.897 240
18 2 225 0.911 239
18 3 202 0.95 243
18 4 190 0.944 238
18 5 185 0.95 246
18 6 167 0.932 242
18 7 179 0.911 233
18 8 184 0.914 242
18 9 81 0.936 230
18 10 90 0.9 233
18 11 165 0.944 239
18 12 167 0.87 240
18 13 151 0.886 239
18 14 152 0.934 239
18 15 182 0.967 239
18 16 160 0.893 240
18 17 88 0.968 232
18 18 80 0.994 235
18 19 148 0.868 240
18 20 150 0.912 240
18 21 116 0.977 234
18 22 101 0.917 232
18 23 168 0.915 243
