row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
1	1	314	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	738.880368205319	0.446482879552278	NA
1	2	233	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	634.394072834298	0.241830122344309	NA
1	3	230	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	685.746615130672	0.342412110951273	NA
1	4	230	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	693.894335416827	0.358370695908274	NA
1	5	220	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	652.544184957639	0.277379956669334	NA
1	6	220	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	628.459467454929	0.230206269191928	NA
1	7	211	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	587.934939609694	0.150832641017734	NA
1	8	220	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	594.485826821192	0.163663578560605	NA
1	9	219	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	600.218953184615	0.174892803537238	NA
1	10	202	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	555.69794138994	0.0876914362659114	NA
1	11	206	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	570.82187473752	0.117314025988527	NA
1	12	180	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	492.839922675916	-0.0354258280296218	NA
1	13	198	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	541.152509972115	0.0592019330840141	NA
1	14	176	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	471.193927592513	-0.0778228960910201	NA
1	15	182	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	489.070672133134	-0.0428084949473148	NA
1	16	189	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	510.622922808884	-0.000595039975373357	NA
1	17	186	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	503.75702364901	-0.0140429777052997	NA
1	18	177	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	480.755917649557	-0.0590942425138159	NA
1	19	131	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	350.271232587684	-0.31466891358912	NA
1	20	174	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	477.93870969249	-0.0646121850726443	NA
1	21	189	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	519.983616963607	0.0177393440827673	NA
1	22	170	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	461.251440499641	-0.0972968126447235	NA
1	23	172	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	465.718342990877	-0.0885476852327067	NA
1	24	172	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	458.467297361539	-0.102749992582351	NA
1	25	176	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	464.979425064955	-0.0899949716002969	NA
1	26	175	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	458.294424714674	-0.103088590708555	NA
1	27	182	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	478.212762231386	-0.064075410297485	NA
1	28	174	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	453.114077933884	-0.113235110385778	NA
1	29	175	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	460.268062742114	-0.0992229118402236	NA
1	30	177	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	472.265193772439	-0.0757246536693978	NA
1	31	188	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	511.341773542041	0.000812941655510269	NA
1	32	161	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	443.370667648404	-0.132319103865032	NA
1	33	182	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	520.241959506724	0.0182453483732361	NA
1	34	173	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	512.604438092441	0.00328606773152496	NA
1	35	161	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	493.556893550838	-0.0340215283952087	NA
1	36	170	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	531.361122135724	0.0400239680648262	NA
1	37	160	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	515.726229174933	0.00940058399598342	NA
1	38	155	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	505.797785694991	-0.01004582594456	NA
1	39	162	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	529.65970146707	0.0366914694842781	NA
1	40	157	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	512.019462428725	0.00214030136997478	NA
1	41	170	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	550.199361758389	0.0769216077603765	NA
1	42	181	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	607.851329376282	0.189842006455446	NA
1	43	182	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	635.709264916291	0.244406131809305	NA
1	44	170	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	621.579107309014	0.216730007358304	NA
1	45	204	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	724.422624317422	0.418165126117167	NA
1	46	217	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	738.761673559209	0.446250397517136	NA
1	47	203	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	656.723915440493	0.285566612772557	NA
1	48	267	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	750.840923679135	0.469909498773139	NA
2	1	242	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	576.885208060062	0.129190012958139	NA
2	2	199	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	535.088166763006	0.0473239680935573	NA
2	3	185	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	548.648536934437	0.0738840747036131	NA
2	4	191	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	568.627457964566	0.11301591740449	NA
2	5	189	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	549.923476038082	0.0763812424126094	NA
2	6	172	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	480.225745863575	-0.0601326669063151	NA
2	7	183	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	500.628975999601	-0.0201697484349547	NA
2	8	202	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	542.102890393764	0.0610634018344984	NA
2	9	172	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	461.35681514574	-0.0970904199136252	NA
2	10	184	cln1cln2M_Y13096_1_mini.jpeg.dat	Y13096	YOR202W_DMA1	502.337856567745	-0.0168226384740953	NA
