#row  column  size-1  circ-1  MedInt-1
1 1 105 0.455 219
1 2 910 0.886 244
1 3 713 0.911 234
1 4 806 0.902 234
1 5 805 0.887 236
1 6 886 0.897 233
1 7 873 0.897 230
1 8 773 0.903 225
1 9 800 0.891 230
1 10 796 0.915 224
1 11 918 0.893 228
1 12 0 0.0 0
2 1 1026 0.892 238
2 2 866 0.877 239
2 3 885 0.906 238
2 4 830 0.904 233
2 5 37 -1.0 248
2 6 812 0.862 235
2 7 0 0.0 0
2 8 841 0.897 235
2 9 799 0.904 230
2 10 783 0.872 231
2 11 814 0.901 228
2 12 923 0.911 232
3 1 808 0.894 236
3 2 744 0.875 233
3 3 748 0.865 235
3 4 866 0.896 238
3 5 716 0.865 233
3 6 0 0.0 0
3 7 797 0.872 231
3 8 803 0.908 229
3 9 772 0.869 228
3 10 720 0.852 224
3 11 902 0.844 223
3 12 988 0.91 226
4 1 964 0.91 237
4 2 817 0.859 234
4 3 664 0.873 223
4 4 807 0.889 232
4 5 911 0.913 232
4 6 0 0.0 0
4 7 851 0.88 229
4 8 722 0.872 229
4 9 851 0.894 232
4 10 856 0.899 231
4 11 844 0.924 230
4 12 861 0.891 224
5 1 0 0.0 0
5 2 741 0.816 234
5 3 762 0.9 232
5 4 889 0.891 235
5 5 799 0.867 229
5 6 886 0.911 233
5 7 871 0.915 229
5 8 859 0.902 228
5 9 831 0.915 230
5 10 916 0.904 230
5 11 0 0.0 0
5 12 857 0.9 226
6 1 919 0.898 233
6 2 837 0.888 233
6 3 685 0.811 227
6 4 0 0.0 0
6 5 814 0.935 231
6 6 744 0.875 225
6 7 757 0.88 222
6 8 770 0.881 222
6 9 741 0.885 219
6 10 741 0.871 219
6 11 869 0.917 225
6 12 0 0.0 0
7 1 859 0.906 231
7 2 156 0.146 223
7 3 829 0.899 233
7 4 916 0.904 232
7 5 649 0.617 227
7 6 681 0.71 219
7 7 753 0.844 223
7 8 694 0.812 219
7 9 823 0.897 223
7 10 869 0.889 227
7 11 792 0.872 220
7 12 965 0.907 221
8 1 1005 0.904 230
8 2 759 0.825 225
8 3 822 0.91 221
8 4 822 0.9 224
8 5 0 0.0 0
8 6 946 0.893 229
8 7 796 0.9 219
8 8 847 0.876 220
8 9 0 0.0 0
8 10 866 0.9 220
8 11 792 0.886 216
8 12 906 0.898 211
