row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
1	1	105	96_example.jpg.dat	1	1	NA	NA	{status=JK}
1	2	910	96_example.jpg.dat	1	1	519.970098563113	NA	NA
1	3	713	96_example.jpg.dat	1	5	463.242362674117	NA	NA
1	4	806	96_example.jpg.dat	1	5	472.525416614896	NA	NA
1	5	805	96_example.jpg.dat	1	9	551.604295692223	NA	NA
1	6	886	96_example.jpg.dat	1	9	567.955600689401	NA	NA
1	7	873	96_example.jpg.dat	1	13	598.563565186757	NA	NA
1	8	773	96_example.jpg.dat	1	13	520.485220960181	NA	NA
1	9	800	96_example.jpg.dat	1	17	510	NA	NA
1	10	796	96_example.jpg.dat	1	17	482.774621486144	NA	NA
1	11	918	96_example.jpg.dat	1	21	512.843612560997	NA	NA
1	12	0	96_example.jpg.dat	1	21	NA	NA	{status=JK}
2	1	1026	96_example.jpg.dat	1	1	526.839203974361	NA	NA
2	2	866	96_example.jpg.dat	1	1	522.847049101845	NA	NA
2	3	885	96_example.jpg.dat	1	5	NA	NA	{status=JK}
2	4	830	96_example.jpg.dat	1	5	495.505499251407	NA	NA
2	5	37	96_example.jpg.dat	1	9	NA	NA	{status=JK}
2	6	812	96_example.jpg.dat	1	9	519.018989088904	NA	NA
2	7	0	96_example.jpg.dat	1	13	NA	NA	{status=JK}
2	8	841	96_example.jpg.dat	1	13	565.959191543941	NA	NA
2	9	799	96_example.jpg.dat	1	17	517.456363350584	NA	NA
2	10	783	96_example.jpg.dat	1	17	488.835424676899	NA	NA
2	11	814	96_example.jpg.dat	1	21	481.695264319283	NA	NA
2	12	923	96_example.jpg.dat	1	21	494.196922435615	NA	NA
3	1	808	96_example.jpg.dat	1	2	461.360343044745	NA	NA
3	2	744	96_example.jpg.dat	1	2	484.696416684171	NA	NA
3	3	748	96_example.jpg.dat	1	6	517.106173954776	NA	NA
3	4	866	96_example.jpg.dat	1	6	534.58309549827	NA	NA
3	5	716	96_example.jpg.dat	1	10	497.903195275398	NA	NA
3	6	0	96_example.jpg.dat	1	10	-67.0920307704615	NA	NA
3	7	797	96_example.jpg.dat	1	14	542.614526607325	NA	NA
3	8	803	96_example.jpg.dat	1	14	547.838759711505	NA	NA
3	9	772	96_example.jpg.dat	1	18	513.555770715694	NA	NA
3	10	720	96_example.jpg.dat	1	18	468.861922181092	NA	NA
3	11	902	96_example.jpg.dat	1	22	559.190702105163	NA	NA
3	12	988	96_example.jpg.dat	1	22	562.192240016564	NA	NA
4	1	964	96_example.jpg.dat	1	2	535.691317333617	NA	NA
4	2	817	96_example.jpg.dat	1	2	520.497050227535	NA	NA
4	3	664	96_example.jpg.dat	1	6	450.213100860823	NA	NA
4	4	807	96_example.jpg.dat	1	6	481.993057447163	NA	NA
4	5	911	96_example.jpg.dat	1	10	617.043274727105	NA	NA
4	6	0	96_example.jpg.dat	1	10	-96.6975961454885	NA	NA
4	7	851	96_example.jpg.dat	1	14	557.062979768157	NA	NA
4	8	722	96_example.jpg.dat	1	14	NA	NA	{status=JK}
4	9	851	96_example.jpg.dat	1	18	544.689379874397	NA	NA
4	10	856	96_example.jpg.dat	1	18	538.736889767521	NA	NA
4	11	844	96_example.jpg.dat	1	22	515.37753828322	NA	NA
4	12	861	96_example.jpg.dat	1	22	491.90801928371	NA	NA
5	1	0	96_example.jpg.dat	1	3	NA	NA	{status=JK}
5	2	741	96_example.jpg.dat	1	3	472.536164647307	NA	NA
5	3	762	96_example.jpg.dat	1	7	504.098934068637	NA	NA
5	4	889	96_example.jpg.dat	1	7	519.154381564102	NA	NA
5	5	799	96_example.jpg.dat	1	11	509.218533270565	NA	NA
5	6	886	96_example.jpg.dat	1	11	524.44571765948	NA	NA
