#row  column  size-1  size-2  circ-1  circ-2  MedInt-1  MedInt-2
1 1 327 113 0.477 0.813 222 222
1 2 266 59 0.885 -1.0 225 227
1 3 238 160 0.349 0.915 226 241
1 4 379 196 0.525 0.974 236 241
1 5 232 63 0.912 0.983 235 234
1 6 284 176 0.36 0.926 230 241
1 7 239 170 0.929 0.949 233 240
1 8 211 94 0.892 0.909 232 235
1 9 387 56 0.587 0.927 234 225
1 10 348 76 0.412 0.944 235 232
1 11 198 0 0.89 0.0 234 0
1 12 327 74 0.489 0.954 235 235
1 13 340 174 0.368 0.947 232 241
1 14 212 179 0.904 0.955 232 242
1 15 251 161 0.334 0.921 232 235
1 16 315 181 0.408 0.952 234 236
1 17 239 156 0.598 0.915 228 240
1 18 245 148 0.899 0.948 228 237
1 19 259 151 0.397 0.909 230 235
1 20 173 175 0.832 0.921 220 239
1 21 328 0 0.369 0.0 228 0
1 22 203 114 0.411 0.96 227 231
1 23 204 142 0.862 0.91 218 232
1 24 207 125 0.931 0.98 223 224
2 1 113 197 0.912 0.918 224 239
2 2 166 168 0.917 0.961 238 241
2 3 0 0 0.0 0.0 0 0
2 4 185 210 0.919 0.924 244 248
2 5 195 198 0.925 0.902 243 246
2 6 170 179 0.949 0.942 245 245
2 7 79 171 0.982 0.922 237 244
2 8 177 200 0.954 0.919 243 243
2 9 169 40 0.943 -1.0 242 226
2 10 0 0 0.0 0.0 0 0
2 11 111 168 0.964 0.906 240 244
2 12 46 183 0.992 0.909 225 246
2 13 0 0 0.0 0.0 0 0
2 14 204 0 0.938 0.0 244 0
2 15 0 143 0.0 0.952 0 243
2 16 109 0 0.959 0.0 239 0
2 17 0 0 0.0 0.0 0 0
2 18 35 153 0.947 0.931 222 240
2 19 157 167 0.921 0.99 242 245
2 20 0 0 0.0 0.0 0 0
2 21 154 169 0.987 0.977 243 248
2 22 155 153 0.943 0.955 239 239
2 23 81 146 0.923 0.956 232 239
2 24 153 151 0.965 0.942 231 235
3 1 177 172 0.922 0.875 239 241
3 2 186 198 0.924 0.91 246 248
3 3 219 218 0.934 0.902 247 249
3 4 204 193 0.909 0.852 251 247
3 5 186 139 0.924 0.935 243 244
3 6 82 201 0.934 0.924 239 246
3 7 199 196 0.886 0.901 247 247
3 8 0 0 0.0 0.0 0 0
3 9 207 185 0.931 0.919 246 248
3 10 171 204 0.922 0.938 247 248
3 11 0 0 0.0 0.0 0 0
3 12 126 35 0.932 -1.0 244 235
3 13 0 0 0.0 0.0 0 0
3 14 152 100 0.959 0.937 244 243
3 15 152 145 0.924 0.939 244 246
3 16 151 73 0.942 0.994 243 242
3 17 216 0 0.941 0.0 248 0
3 18 0 0 0.0 0.0 0 0
3 19 202 153 0.95 0.965 245 247
3 20 0 172 0.0 0.927 0 249
3 21 141 91 0.938 0.967 240 236
3 22 0 184 0.0 0.936 0 236
3 23 178 181 0.927 0.952 243 242
3 24 77 157 -1.0 0.921 225 240
4 1 169 215 0.967 0.909 239 247
4 2 132 176 0.977 0.926 245 248
4 3 0 211 0.0 0.92 0 246
4 4 202 228 0.888 0.897 248 248
4 5 194 216 0.942 0.941 246 247
4 6 216 209 0.933 0.94 250 247
4 7 136 183 0.967 0.963 243 248
4 8 165 121 0.944 0.989 249 242
4 9 120 70 0.941 -1.0 246 238
4 10 187 172 0.929 0.936 245 245
4 11 0 156 0.0 0.949 0 245
4 12 156 121 0.915 0.948 246 243
4 13 178 189 0.959 0.918 247 242
4 14 169 165 0.977 0.934 244 248
4 15 144 167 0.933 0.965 244 247
4 16 147 0 0.952 0.0 246 0
4 17 171 0 0.9 0.0 249 0
4 18 0 0 0.0 0.0 0 0
4 19 175 0 0.953 0.0 248 0
4 20 126 200 0.988 0.94 244 247
4 21 0 203 0.0 0.904 0 245
4 22 164 0 0.938 0.0 245 0
4 23 195 0 0.947 0.0 246 0
4 24 59 175 0.976 0.953 226 237
5 1 174 196 0.938 0.893 242 244
5 2 90 215 0.943 0.909 238 249
5 3 240 163 0.925 0.966 249 247
5 4 211 202 0.928 0.861 250 244
5 5 244 143 0.885 0.893 249 245
5 6 0 0 0.0 0.0 0 0
5 7 190 219 0.967 0.934 245 248
5 8 0 99 0.0 -1.0 0 242
5 9 194 105 0.912 0.984 244 243
5 10 150 168 0.912 0.937 247 245
5 11 172 143 0.905 0.926 245 246
5 12 181 10 0.9 -1.0 247 192
5 13 0 0 0.0 0.0 0 0
5 14 173 173 0.932 0.932 247 246
5 15 166 166 0.926 0.926 247 244
5 16 0 180 0.0 0.947 0 245
5 17 128 159 0.974 0.933 247 248
5 18 142 128 0.92 0.947 248 247
5 19 199 0 0.936 0.0 247 0
5 20 0 54 0.0 0.993 0 232
5 21 0 163 0.0 0.91 0 239
5 22 178 172 0.927 0.936 240 246
5 23 0 0 0.0 0.0 0 0
5 24 193 166 0.937 0.917 243 235
6 1 94 176 0.953 0.875 237 245
6 2 192 211 0.932 0.94 249 248
6 3 224 237 0.947 0.932 250 242
6 4 219 239 0.946 0.913 247 248
6 5 205 239 0.882 0.921 246 248
6 6 245 90 0.914 0.957 248 243
6 7 222 200 0.938 0.911 245 246
6 8 200 198 0.94 0.91 246 247
6 9 154 196 0.913 0.873 242 246
6 10 204 174 0.938 0.938 246 245
6 11 82 192 -1.0 0.924 244 247
6 12 187 168 0.951 0.971 246 248
6 13 0 0 0.0 0.0 0 0
6 14 168 49 0.961 0.988 248 234
6 15 0 0 0.0 0.0 0 0
6 16 149 135 0.906 0.934 246 247
6 17 0 0 0.0 0.0 0 0
6 18 85 111 0.891 0.907 244 241
6 19 133 176 0.946 0.949 244 246
6 20 204 0 0.938 0.0 246 0
6 21 185 183 0.941 0.94 245 244
6 22 161 0 0.954 0.0 245 0
6 23 185 150 0.941 0.936 238 242
6 24 152 160 0.949 0.973 239 240
7 1 140 183 0.874 0.931 241 245
7 2 196 182 0.922 0.905 248 248
7 3 215 212 0.945 0.896 248 247
7 4 0 0 0.0 0.0 0 0
7 5 230 239 0.94 0.895 246 246
7 6 0 197 0.0 0.935 0 243
7 7 184 117 0.914 0.928 247 245
7 8 215 151 0.929 0.918 248 242
7 9 115 168 0.94 0.884 246 244
7 10 78 126 0.969 0.959 239 244
7 11 0 184 0.0 0.945 0 243
7 12 97 176 -1.0 0.926 242 244
