#row  column  size-1  circ-1  MedInt-1
1 1 277 0.925 228
1 2 171 0.944 229
1 3 127 0.929 234
1 4 156 0.959 238
1 5 141 0.913 238
1 6 146 0.921 240
1 7 134 0.953 238
1 8 163 0.966 242
1 9 134 0.953 236
1 10 168 0.961 242
1 11 166 0.926 242
1 12 170 0.916 237
1 13 182 0.958 242
1 14 158 0.961 241
1 15 204 0.938 246
1 16 170 0.916 240
1 17 167 0.909 238
1 18 160 0.925 240
1 19 186 0.946 237
1 20 171 0.9 238
1 21 189 0.939 241
1 22 176 0.958 226
1 23 200 0.949 238
1 24 187 0.929 240
1 25 181 0.9 236
1 26 188 0.913 242
1 27 200 0.94 239
1 28 187 0.929 235
1 29 186 0.903 239
1 30 199 0.936 236
1 31 156 0.935 238
1 32 193 0.946 228
1 33 186 0.933 238
1 34 182 0.944 238
1 35 194 0.921 241
1 36 165 0.93 234
1 37 164 0.948 231
1 38 161 0.921 239
1 39 160 0.893 238
1 40 150 0.946 231
1 41 188 0.913 240
1 42 149 0.94 237
1 43 154 0.881 228
1 44 0 0.0 0
1 45 143 0.926 232
1 46 0 0.0 0
1 47 154 0.937 229
1 48 308 0.847 220
2 1 147 0.928 229
2 2 152 0.949 230
2 3 145 0.939 234
2 4 143 0.952 236
2 5 149 0.94 240
2 6 144 0.933 237
2 7 138 0.944 243
2 8 132 0.977 238
2 9 137 0.947 237
2 10 140 0.995 239
2 11 144 0.923 242
2 12 140 0.968 239
2 13 136 0.941 238
2 14 146 0.946 246
2 15 132 0.938 239
2 16 141 0.938 242
2 17 146 0.946 239
2 18 147 0.952 239
2 19 139 0.925 243
2 20 136 0.941 239
2 21 141 0.949 244
2 22 144 0.996 241
2 23 133 0.909 238
2 24 147 0.952 238
2 25 125 0.963 235
2 26 134 0.902 236
2 27 138 0.954 236
2 28 160 0.939 240
2 29 134 0.916 240
2 30 141 0.904 239
2 31 129 0.954 238
2 32 139 0.961 239
2 33 131 0.931 240
2 34 135 0.898 235
2 35 128 0.947 241
2 36 142 0.92 243
2 37 134 0.927 239
2 38 135 0.934 238
2 39 133 0.92 238
2 40 135 0.934 236
2 41 139 0.925 240
2 42 149 0.965 239
2 43 148 0.934 239
2 44 142 0.982 238
2 45 148 0.934 236
2 46 145 0.939 229
2 47 142 0.91 227
2 48 162 0.96 223
3 1 166 0.95 227
3 2 154 0.961 235
3 3 129 0.917 236
3 4 118 0.925 235
3 5 157 0.931 239
3 6 149 0.965 238
3 7 125 0.914 238
3 8 138 0.918 240
3 9 137 0.912 243
3 10 157 0.955 240
3 11 128 0.963 241
3 12 126 0.921 239
3 13 148 0.959 238
3 14 156 0.915 240
3 15 72 0.98 237
3 16 140 0.957 242
3 17 152 0.949 240
3 18 80 0.898 237
3 19 112 0.943 231
3 20 146 0.936 238
3 21 156 0.949 239
3 22 151 0.942 244
3 23 144 0.958 238
3 24 142 0.956 238
3 25 157 0.955 240
3 26 144 0.933 238
3 27 146 0.911 240
3 28 140 0.957 241
3 29 157 0.955 239
3 30 141 0.913 241
3 31 148 0.934 238
3 32 147 0.952 240
3 33 155 0.943 241
3 34 139 0.961 237
3 35 138 0.981 239
3 36 153 0.931 240
3 37 147 0.894 241
3 38 83 0.995 239
3 39 132 0.938 240
3 40 138 0.954 237
3 41 142 0.956 241
3 42 128 0.936 238
3 43 142 0.945 242
3 44 152 0.924 239
3 45 145 0.929 236
3 46 161 0.921 232
3 47 170 0.972 232
3 48 172 0.96 228
4 1 186 0.933 233
4 2 153 0.907 233
4 3 148 0.9 240
4 4 163 0.932 240
4 5 141 0.89 241
4 6 132 0.938 241
4 7 142 0.92 246
4 8 149 0.93 238
4 9 149 0.955 239
4 10 146 0.921 243
4 11 139 0.961 242
4 12 81 -1.0 241
4 13 140 0.968 240
4 14 118 0.964 245
4 15 86 0.901 239
4 16 162 0.96 243
4 17 156 0.949 243
4 18 166 0.926 242
4 19 157 0.955 239
4 20 158 0.927 240
4 21 116 0.977 240
4 22 150 0.972 237
4 23 145 0.915 238
4 24 163 0.9 240
4 25 116 0.948 235
4 26 150 0.936 237
4 27 142 0.956 239
4 28 162 0.927 238
4 29 132 0.949 237
4 30 156 0.925 239
4 31 144 0.933 237
4 32 133 0.973 240
4 33 155 0.933 239
4 34 153 0.931 242
4 35 133 0.92 239
4 36 136 0.881 242
4 37 135 0.96 243
4 38 144 0.958 241
4 39 123 0.976 243
4 40 146 0.956 242
4 41 129 0.954 240
4 42 139 0.901 240
4 43 115 0.94 241
4 44 146 0.946 236
4 45 51 0.829 229
4 46 157 0.955 235
4 47 154 0.937 235
4 48 191 0.949 233
5 1 177 0.901 238
5 2 183 0.94 237
5 3 170 0.939 242
5 4 164 0.906 246
5 5 149 0.94 249
5 6 137 0.912 242
5 7 155 0.943 248
5 8 153 0.875 244
5 9 150 0.946 241
5 10 126 0.959 247
5 11 143 0.926 245
5 12 161 0.921 243
5 13 138 0.981 241
5 14 139 0.925 246
5 15 136 0.967 243
5 16 149 0.93 241
5 17 12 -1.0 186
5 18 164 0.915 241
5 19 167 0.98 242
5 20 154 0.913 241
5 21 164 0.938 239
5 22 160 0.973 245
5 23 166 0.95 240
5 24 156 0.974 242
5 25 129 0.954 236
5 26 173 0.932 241
5 27 167 0.922 242
5 28 152 0.924 242
5 29 144 0.933 240
5 30 160 0.948 244
5 31 132 0.977 243
5 32 148 0.924 243
5 33 146 0.921 238
5 34 153 0.897 243
5 35 142 0.945 243
5 36 137 0.912 243
5 37 96 0.96 241
5 38 138 0.944 243
5 39 138 0.981 243
5 40 152 0.959 247
5 41 132 0.965 242
5 42 134 0.892 242
5 43 136 0.93 242
5 44 133 0.946 242
5 45 164 0.962 241
5 46 140 0.907 237
5 47 184 0.945 235
5 48 193 0.946 234
6 1 195 0.947 242
6 2 185 0.928 243
6 3 17 -1.0 206
6 4 160 0.884 249
6 5 154 0.937 242
6 6 146 0.936 238
6 7 64 0.885 245
6 8 143 0.978 239
6 9 143 0.952 242
6 10 156 0.925 245
6 11 63 0.892 242
6 12 149 0.965 239
6 13 145 0.95 243
6 14 153 0.931 245
6 15 92 0.932 241
6 16 174 0.938 243
6 17 166 0.95 243
6 18 122 0.918 242
6 19 84 0.84 240
6 20 162 0.927 243
6 21 147 0.942 244
6 22 106 0.893 239
6 23 0 0.0 0
6 24 21 0.88 224
6 25 174 0.947 241
6 26 164 0.938 248
6 27 13 -1.0 189
6 28 125 0.992 244
6 29 153 0.931 244
6 30 149 0.906 243
6 31 0 0.0 0
6 32 152 0.924 243
6 33 150 0.972 244
6 34 143 0.926 244
6 35 33 0.892 228
6 36 153 0.931 240
6 37 133 0.957 244
6 38 139 0.961 243
6 39 39 0.929 235
6 40 120 0.914 241
6 41 95 0.963 239
6 42 151 0.942 243
6 43 34 0.994 237
6 44 163 0.932 244
6 45 146 0.946 241
6 46 161 0.944 242
6 47 180 0.947 241
6 48 185 0.919 233
7 1 186 0.895 245
7 2 184 0.914 242
7 3 167 0.932 244
7 4 156 0.949 243
7 5 113 0.952 241
7 6 126 0.932 243
7 7 164 0.938 244
7 8 88 -1.0 241
7 9 147 0.918 241
7 10 137 0.947 245
7 11 135 0.96 246
7 12 149 0.93 246
7 13 143 0.926 245
7 14 132 0.938 243
7 15 154 0.937 245
7 16 161 0.954 246
7 17 166 0.895 243
7 18 164 0.948 240
7 19 161 0.921 241
7 20 164 0.906 243
7 21 155 0.887 242
7 22 0 0.0 0
7 23 167 0.955 246
7 24 177 0.931 243
7 25 168 0.937 243
7 26 48 0.967 239
7 27 163 0.879 245
7 28 149 0.906 245
7 29 147 0.918 241
7 30 118 0.888 242
7 31 85 0.891 240
7 32 164 0.948 243
7 33 147 0.952 241
7 34 120 0.981 244
7 35 110 0.873 243
7 36 151 0.918 243
7 37 145 0.939 244
7 38 136 0.905 244
7 39 147 0.952 242
7 40 143 0.937 243
7 41 132 0.938 247
7 42 138 0.944 245
7 43 126 0.948 242
7 44 48 0.924 236
7 45 148 0.959 246
7 46 155 0.919 242
7 47 187 0.929 242
7 48 0 0.0 0
8 1 190 0.944 243
8 2 174 0.938 245
8 3 166 0.95 244
8 4 160 0.973 242
8 5 129 0.954 247
8 6 156 0.925 247
8 7 0 0.0 0
8 8 39 1.0 241
8 9 151 0.918 247
8 10 152 0.959 244
8 11 145 0.976 244
8 12 132 0.938 240
8 13 162 0.936 244
8 14 138 0.954 244
8 15 118 0.953 242
8 16 159 0.933 248
8 17 154 0.937 244
8 18 164 0.938 242
8 19 113 0.952 242
8 20 167 0.932 246
8 21 168 0.937 245
8 22 175 0.943 244
8 23 146 0.972 242
8 24 172 0.95 242
8 25 159 0.91 242
8 26 163 0.942 240
8 27 130 0.962 240
8 28 159 0.878 250
8 29 156 0.949 243
8 30 151 0.918 243
8 31 127 0.967 241
8 32 114 0.932 242
