row	col	colonysize	plateid	query	array	ncolonysize	score	kvp
1	1	277	1536_example.jpg.dat	1	YOR202W_DMA1	759.165984988129	NA	NA
1	2	171	1536_example.jpg.dat	1	YOR202W_DMA1	545.358361159644	NA	NA
1	3	127	1536_example.jpg.dat	1	YOR202W_DMA1	449.64634037545	NA	NA
1	4	156	1536_example.jpg.dat	1	YOR202W_DMA1	523.553780638051	NA	NA
1	5	141	1536_example.jpg.dat	1	YOR202W_DMA1	475.35029694349	NA	NA
1	6	146	1536_example.jpg.dat	1	YOR202W_DMA1	478.167834741647	NA	NA
1	7	134	1536_example.jpg.dat	1	YOR202W_DMA1	429.79470325491	NA	NA
1	8	163	1536_example.jpg.dat	1	YOR202W_DMA1	495.065236248059	NA	NA
1	9	134	1536_example.jpg.dat	1	YOR202W_DMA1	407.825254423618	NA	NA
1	10	168	1536_example.jpg.dat	1	YOR202W_DMA1	509.620545903076	NA	NA
1	11	166	1536_example.jpg.dat	1	YOR202W_DMA1	511.843102888331	NA	NA
1	12	170	1536_example.jpg.dat	1	YOR202W_DMA1	519.057332534982	NA	NA
1	13	182	1536_example.jpg.dat	1	YOR202W_DMA1	548.011014452498	NA	NA
1	14	158	1536_example.jpg.dat	1	YOR202W_DMA1	486.645695673845	NA	NA
1	15	204	1536_example.jpg.dat	1	YOR202W_DMA1	620.883536309802	NA	NA
1	16	170	1536_example.jpg.dat	1	YOR202W_DMA1	511.71428455574	NA	NA
1	17	167	1536_example.jpg.dat	1	YOR202W_DMA1	495.143741806301	NA	NA
1	18	160	1536_example.jpg.dat	1	YOR202W_DMA1	479.488770935337	NA	NA
1	19	186	1536_example.jpg.dat	1	YOR202W_DMA1	553.55269895622	NA	NA
1	20	171	1536_example.jpg.dat	1	YOR202W_DMA1	501.27891147949	NA	NA
1	21	189	1536_example.jpg.dat	1	YOR202W_DMA1	551.929237668966	NA	NA
1	22	176	1536_example.jpg.dat	1	YOR202W_DMA1	513.836342033686	NA	NA
1	23	200	1536_example.jpg.dat	1	YOR202W_DMA1	574.74135704703	NA	NA
1	24	187	1536_example.jpg.dat	1	YOR202W_DMA1	532.475351014975	NA	NA
1	25	181	1536_example.jpg.dat	1	YOR202W_DMA1	510.507306993312	NA	NA
1	26	188	1536_example.jpg.dat	1	YOR202W_DMA1	535.525041274816	NA	NA
1	27	200	1536_example.jpg.dat	1	YOR202W_DMA1	575.210396796544	NA	NA
1	28	187	1536_example.jpg.dat	1	YOR202W_DMA1	536.676352040575	NA	NA
1	29	186	1536_example.jpg.dat	1	YOR202W_DMA1	529.952078858397	NA	NA
1	30	199	1536_example.jpg.dat	1	YOR202W_DMA1	581.530855479324	NA	NA
1	31	156	1536_example.jpg.dat	1	YOR202W_DMA1	462.793527039399	NA	NA
1	32	193	1536_example.jpg.dat	1	YOR202W_DMA1	565.408370358406	NA	NA
1	33	186	1536_example.jpg.dat	1	YOR202W_DMA1	536.7856577886	NA	NA
1	34	182	1536_example.jpg.dat	1	YOR202W_DMA1	529.799840609612	NA	NA
1	35	194	1536_example.jpg.dat	1	YOR202W_DMA1	567.386420042173	NA	NA
1	36	165	1536_example.jpg.dat	1	YOR202W_DMA1	484.514164010138	NA	NA
1	37	164	1536_example.jpg.dat	1	YOR202W_DMA1	483.167402258321	NA	NA
1	38	161	1536_example.jpg.dat	1	YOR202W_DMA1	479.212966419424	NA	NA
1	39	160	1536_example.jpg.dat	1	YOR202W_DMA1	481.944610814901	NA	NA
1	40	150	1536_example.jpg.dat	1	YOR202W_DMA1	460.260698166183	NA	NA
1	41	188	1536_example.jpg.dat	1	YOR202W_DMA1	577.122290385388	NA	NA
1	42	149	1536_example.jpg.dat	1	YOR202W_DMA1	488.358755575092	NA	NA
1	43	154	1536_example.jpg.dat	1	YOR202W_DMA1	518.189783078844	NA	NA
1	44	0	1536_example.jpg.dat	1	YOR202W_DMA1	101.881902221636	NA	NA
1	45	143	1536_example.jpg.dat	1	YOR202W_DMA1	493.639858204147	NA	NA
1	46	0	1536_example.jpg.dat	1	YOR202W_DMA1	141.561260160407	NA	NA
1	47	154	1536_example.jpg.dat	1	YOR202W_DMA1	490.086483638457	NA	NA
1	48	308	1536_example.jpg.dat	1	YOR202W_DMA1	779.696722222158	NA	NA
2	1	147	1536_example.jpg.dat	1	YOR202W_DMA1	549.589442300458	NA	NA
2	2	152	1536_example.jpg.dat	1	YOR202W_DMA1	576.81933741288	NA	NA
2	3	145	1536_example.jpg.dat	1	YOR202W_DMA1	570.340193298711	NA	NA
